index,arm,split,A_duration,B_duration,C_certain_duration,A_exposure,B_exposure,C_certain_exposure,C_differs_from_A,C_differs_from_B,C_minus_B_exposure,POST_A_CLAIM_FRACTION,C_contains_A_every_row
594,SELECTIVE,DEVELOPMENT,194,10227,10227,376,1682628,1682626,True,True,-2,1.0,True
594,SHAM,DEVELOPMENT,400,10227,10227,914,1751258,1751117,True,True,-141,1.0,True
639,SELECTIVE,DEVELOPMENT,728,8587,8587,2633,1331434,1331433,True,True,-1,1.0,True
639,SHAM,DEVELOPMENT,752,8587,2319,864,1324818,8108,True,True,-1316710,0.00549036192884206,True
664,SELECTIVE,DEVELOPMENT,0,10666,10666,1,1684566,1684565,True,True,-1,1.0,True
664,SHAM,DEVELOPMENT,0,10666,32,1,1524123,33,True,True,-1524090,2.0995708345990904e-05,True
743,SELECTIVE,VALIDATION,110,10444,10444,213,1746374,1746371,True,True,-3,1.0,True
743,SHAM,VALIDATION,116,10444,1050,117,1979785,2043,True,True,-1977742,0.000973112585993646,True
744,SELECTIVE,DEVELOPMENT,138,10379,10379,386,1878404,1878403,True,True,-1,1.0,True
744,SHAM,DEVELOPMENT,58,10379,2208,123,1925691,57994,True,True,-1867697,0.03005491015622363,True
748,SELECTIVE,DEVELOPMENT,82,10536,10536,166,1699435,1699433,True,True,-2,1.0,True
748,SHAM,DEVELOPMENT,3,10536,990,8,1869823,4066,True,True,-1865757,0.002170277467139657,True
