index,arm,split,t_m,root_size,A_duration,A_exposure,A_terminal,B_duration,B_exposure,B_terminal,C_certain_duration,C_certain_exposure,C_possible_duration,C_possible_exposure,C_terminal,C_certain_split_rows,C_yb_certain,C_yd_certain,C_yb_possible,C_yd_possible,C_replacements_crossed,C_xb_certain,C_xb_possible,total_xbirths_after_t_m,C_downstream_X_fraction_certain,C_downstream_X_fraction_possible,POST_A_CLAIM_FRACTION,ambient_rows_claimed_after_A,implementations_agree,invariant_violations,C_contains_A_every_row,C_equals_A,C_equals_B,C_minus_B_exposure
201,SELECTIVE,DEVELOPMENT,1150,2,360,503,SPLIT_OR_TIE,9849,1513664,REACHED_THE_HORIZON,9849,1513663,9849,1513663,REACHED_THE_HORIZON,9572,1381,1132,1381,1132,1132,171030,171030,171030,1.0,1.0,1.0,9489,True,0,True,False,False,-1
201,SHAM,DEVELOPMENT,1150,2,122,246,SPLIT_OR_TIE,9849,1331541,REACHED_THE_HORIZON,9849,1331529,9849,1331529,REACHED_THE_HORIZON,9353,1263,1029,1263,1029,1029,155489,155489,155492,0.9999807064029017,0.9999807064029017,1.0,9727,True,0,True,False,False,-12
210,SELECTIVE,DEVELOPMENT,530,1,473,740,SPLIT_OR_TIE,10469,1777043,REACHED_THE_HORIZON,10469,1777042,10469,1777042,REACHED_THE_HORIZON,10152,1578,1330,1578,1330,1330,197979,197979,197979,1.0,1.0,1.0,9996,True,0,True,False,False,-1
210,SHAM,DEVELOPMENT,530,1,344,345,OUT_OF_RANGE,548,1218,Y_EXTINCT,401,402,401,402,CERTAIN_SET_EXHAUSTED,0,0,1,0,1,0,148,148,466,0.31759656652360513,0.31759656652360513,0.24675324675324675,57,True,0,True,False,False,-816
217,SELECTIVE,DEVELOPMENT,910,1,181,288,SPLIT_OR_TIE,10089,1421080,REACHED_THE_HORIZON,10089,1421079,10089,1421079,REACHED_THE_HORIZON,9710,1325,1085,1325,1085,1085,165348,165348,165348,1.0,1.0,1.0,9908,True,0,True,False,False,-1
217,SHAM,DEVELOPMENT,910,1,248,438,SPLIT_OR_TIE,10089,1636991,REACHED_THE_HORIZON,406,623,406,623,CERTAIN_SET_EXHAUSTED,103,1,2,1,2,1,190,190,181062,0.0010493643061492749,0.0010493643061492749,0.32062391681109187,158,True,0,True,False,False,-1636368
226,SELECTIVE,VALIDATION,655,2,30,62,SPLIT_OR_TIE,949,1539,Y_EXTINCT,949,1538,949,1538,CERTAIN_SET_EXHAUSTED,505,3,4,3,4,3,501,501,501,1.0,1.0,1.0,919,True,0,True,False,False,-1
226,SHAM,VALIDATION,655,2,210,384,SPLIT_OR_TIE,10344,1844005,REACHED_THE_HORIZON,1899,14116,10344,1831829,CERTAIN_SET_EXHAUSTED,1704,30,9,1654,1393,9,3856,197682,200523,0.019229714297113048,0.9858320491913646,0.007449488647829927,1689,True,0,True,False,False,-1829889
252,SELECTIVE,DEVELOPMENT,883,3,98,318,SPLIT_OR_TIE,10116,1725141,REACHED_THE_HORIZON,10116,1725140,10116,1725140,REACHED_THE_HORIZON,10116,1545,1282,1545,1282,1282,190154,190154,190154,1.0,1.0,1.0,10018,True,0,True,False,False,-1
252,SHAM,DEVELOPMENT,883,3,34,105,SPLIT_OR_TIE,10116,1910302,REACHED_THE_HORIZON,1448,11390,10116,1899366,CERTAIN_SET_EXHAUSTED,1417,25,8,1630,1378,8,3030,197546,200605,0.015104309463871788,0.9847511278382892,0.005907875876496339,1414,True,0,True,False,False,-1898912
277,SELECTIVE,DEVELOPMENT,874,1,186,461,SPLIT_OR_TIE,10125,1656664,REACHED_THE_HORIZON,10125,1656660,10125,1656660,REACHED_THE_HORIZON,10074,1443,1204,1443,1204,1204,184292,184292,184292,1.0,1.0,1.0,9939,True,0,True,False,False,-4
277,SHAM,DEVELOPMENT,874,1,429,430,MERGE,10125,1713827,REACHED_THE_HORIZON,535,536,535,536,CERTAIN_SET_EXHAUSTED,0,0,1,0,1,0,166,166,185937,0.0008927755099845646,0.0008927755099845646,0.33125,106,True,0,True,False,False,-1713291
298,SELECTIVE,VALIDATION,392,2,10,22,SPLIT_OR_TIE,10607,1898833,REACHED_THE_HORIZON,10607,1898832,10607,1898832,REACHED_THE_HORIZON,10607,1643,1411,1643,1411,1411,204550,204550,204550,1.0,1.0,1.0,10597,True,0,True,False,False,-1
298,SHAM,VALIDATION,392,2,18,38,SPLIT_OR_TIE,10607,1892552,REACHED_THE_HORIZON,1231,1353,1231,1353,CERTAIN_SET_EXHAUSTED,120,0,2,0,2,0,450,450,198412,0.0022680079833881017,0.0022680079833881017,0.15703367566276571,1213,True,0,True,False,False,-1891199
354,SELECTIVE,DEVELOPMENT,315,3,44,111,SPLIT_OR_TIE,568,723,Y_EXTINCT,568,721,568,721,CERTAIN_SET_EXHAUSTED,94,1,3,1,3,1,258,258,259,0.9961389961389961,0.9961389961389961,1.0,524,True,0,True,False,False,-2
354,SHAM,DEVELOPMENT,315,3,39,120,SPLIT_OR_TIE,10684,1756016,REACHED_THE_HORIZON,10684,1755474,10684,1755474,REACHED_THE_HORIZON,10684,1475,1226,1475,1226,1226,191062,191062,191249,0.9990222171096319,0.9990222171096319,0.9997368744788748,10645,True,0,True,False,False,-542
364,SELECTIVE,VALIDATION,1982,1,382,759,SPLIT_OR_TIE,9017,1474787,REACHED_THE_HORIZON,9017,1474786,9017,1474786,REACHED_THE_HORIZON,8870,1377,1115,1377,1115,1115,158869,158869,158869,1.0,1.0,1.0,8635,True,0,True,False,False,-1
364,SHAM,VALIDATION,1982,1,1357,1572,SPLIT_OR_TIE,9017,1174102,REACHED_THE_HORIZON,9017,1173530,9017,1173530,REACHED_THE_HORIZON,7839,1128,871,1128,871,871,138702,138702,138918,0.998445125901611,0.998445125901611,1.0,7660,True,0,True,False,False,-572
392,SELECTIVE,DEVELOPMENT,424,2,212,451,SPLIT_OR_TIE,10575,1705189,REACHED_THE_HORIZON,10575,1705188,10575,1705188,REACHED_THE_HORIZON,10550,1512,1303,1512,1303,1303,191727,191727,191727,1.0,1.0,1.0,10363,True,0,True,False,False,-1
392,SHAM,DEVELOPMENT,424,2,16,34,SPLIT_OR_TIE,10575,1838164,REACHED_THE_HORIZON,1874,2977,10575,1832308,CERTAIN_SET_EXHAUSTED,904,3,2,1610,1373,2,957,202336,204102,0.004688832054560955,0.9913474635231404,0.0016010985178821976,1858,True,0,True,False,False,-1835187
402,SELECTIVE,VALIDATION,1106,3,7,32,SPLIT_OR_TIE,9893,1574843,REACHED_THE_HORIZON,9893,1574839,9893,1574839,REACHED_THE_HORIZON,9893,1441,1229,1441,1229,1229,184795,184795,184795,1.0,1.0,1.0,9886,True,0,True,False,False,-4
402,SHAM,VALIDATION,1106,3,237,2080,OUT_OF_RANGE,9893,1891690,REACHED_THE_HORIZON,518,1387,9893,1882248,CERTAIN_SET_EXHAUSTED,271,4,1,1636,1371,1,425,197708,200205,0.0021228241052920756,0.9875277840213781,0.00018634188123775478,281,True,0,False,False,False,-1890303
450,SELECTIVE,DEVELOPMENT,1291,2,257,372,NO_COMPONENT_AT_THE_NEXT_STEP,257,374,Y_EXTINCT,257,372,257,372,CERTAIN_SET_EXHAUSTED,113,0,1,0,1,0,113,113,113,1.0,1.0,,0,True,0,True,True,False,-2
450,SHAM,DEVELOPMENT,1291,2,88,231,SPLIT_OR_TIE,9708,1733382,REACHED_THE_HORIZON,1760,20069,9708,1730780,CERTAIN_SET_EXHAUSTED,1747,48,14,1572,1322,14,4976,190507,191246,0.02601884483858486,0.9961358668939481,0.01144757790648625,1672,True,0,True,False,False,-1713313
468,SELECTIVE,DEVELOPMENT,627,3,26,81,SPLIT_OR_TIE,10372,1635361,REACHED_THE_HORIZON,10372,1635360,10372,1635360,REACHED_THE_HORIZON,10372,1480,1219,1480,1219,1219,185984,185984,185984,1.0,1.0,1.0,10346,True,0,True,False,False,-1
468,SHAM,DEVELOPMENT,627,3,128,414,SPLIT_OR_TIE,10372,1992477,REACHED_THE_HORIZON,1543,5284,10372,1972782,CERTAIN_SET_EXHAUSTED,1511,8,2,1636,1391,2,1672,201724,207172,0.008070588689591257,0.9737030100592744,0.0024449779550344956,1415,True,0,True,False,False,-1987193
471,SELECTIVE,DEVELOPMENT,858,1,707,1274,SPLIT_OR_TIE,10141,1572244,REACHED_THE_HORIZON,10141,1572243,10141,1572243,REACHED_THE_HORIZON,9659,1466,1202,1466,1202,1202,183122,183122,183122,1.0,1.0,1.0,9434,True,0,True,False,False,-1
471,SHAM,DEVELOPMENT,858,1,119,120,OUT_OF_RANGE,1028,1149,Y_EXTINCT,119,120,119,120,CERTAIN_SET_EXHAUSTED,0,0,1,0,1,0,42,42,392,0.10714285714285714,0.10714285714285714,0.0,0,True,0,True,True,False,-1029
482,SELECTIVE,DEVELOPMENT,888,1,214,215,NO_COMPONENT_AT_THE_NEXT_STEP,214,216,Y_EXTINCT,214,215,214,215,CERTAIN_SET_EXHAUSTED,0,0,0,0,0,0,71,71,72,0.9861111111111112,0.9861111111111112,,0,True,0,True,True,False,-1
482,SHAM,DEVELOPMENT,888,1,128,303,SPLIT_OR_TIE,10111,1587143,REACHED_THE_HORIZON,1071,6184,10111,1585797,CERTAIN_SET_EXHAUSTED,902,15,5,1471,1216,5,1517,185917,186348,0.008140683023160967,0.9976871230171507,0.003706409043612857,943,True,0,True,False,False,-1580959
484,SELECTIVE,VALIDATION,471,1,296,401,SPLIT_OR_TIE,10528,1745547,REACHED_THE_HORIZON,10528,1745546,10528,1745546,REACHED_THE_HORIZON,10271,1550,1311,1550,1311,1311,190764,190764,190764,1.0,1.0,1.0,10232,True,0,True,False,False,-1
484,SHAM,VALIDATION,471,1,551,2384,SPLIT_OR_TIE,10528,1837968,REACHED_THE_HORIZON,10528,1837966,10528,1837966,REACHED_THE_HORIZON,10409,1590,1324,1590,1324,1324,195368,195368,195369,0.9999948814806853,0.9999948814806853,1.0,9977,True,0,True,False,False,-2
489,SELECTIVE,DEVELOPMENT,473,1,555,1208,SPLIT_OR_TIE,10526,1778258,REACHED_THE_HORIZON,10526,1778257,10526,1778257,REACHED_THE_HORIZON,10207,1543,1319,1543,1319,1319,198740,198740,198740,1.0,1.0,1.0,9971,True,0,True,False,False,-1
489,SHAM,DEVELOPMENT,473,1,135,186,SPLIT_OR_TIE,10526,1957707,REACHED_THE_HORIZON,2103,20154,10526,1947426,CERTAIN_SET_EXHAUSTED,1911,49,12,1613,1389,12,5113,206989,209760,0.02437547673531655,0.9867896643783372,0.010201365597468051,1968,True,0,True,False,False,-1937553
518,SELECTIVE,DEVELOPMENT,1269,2,16,34,SPLIT_OR_TIE,9730,1497379,REACHED_THE_HORIZON,9730,1497378,9730,1497378,REACHED_THE_HORIZON,9726,1368,1132,1368,1132,1132,172963,172963,172963,1.0,1.0,1.0,9714,True,0,True,False,False,-1
518,SHAM,DEVELOPMENT,1269,2,322,1669,OUT_OF_RANGE,9730,1816300,REACHED_THE_HORIZON,1753,10430,9730,1815378,CERTAIN_SET_EXHAUSTED,1496,31,5,1559,1316,5,2872,196984,197263,0.014559243243791284,0.9985856445456066,0.004772692064055625,1431,True,0,False,False,False,-1805870
520,SELECTIVE,VALIDATION,704,1,550,711,SPLIT_OR_TIE,10295,1571767,REACHED_THE_HORIZON,10295,1571765,10295,1571765,REACHED_THE_HORIZON,9847,1424,1161,1424,1161,1161,175473,175473,175473,1.0,1.0,1.0,9745,True,0,True,False,False,-2
520,SHAM,VALIDATION,704,1,372,774,SPLIT_OR_TIE,10295,1599946,REACHED_THE_HORIZON,2635,15027,10295,1584470,CERTAIN_SET_EXHAUSTED,2086,31,15,1439,1228,15,4769,185399,189476,0.025169414596043826,0.9784827629884524,0.008916896997421214,2263,True,0,True,False,False,-1584919
539,SELECTIVE,DEVELOPMENT,946,2,197,451,SPLIT_OR_TIE,10053,1704924,REACHED_THE_HORIZON,10053,1704923,10053,1704923,REACHED_THE_HORIZON,10027,1492,1246,1492,1246,1246,189309,189309,189309,1.0,1.0,1.0,9856,True,0,True,False,False,-1
539,SHAM,DEVELOPMENT,946,2,111,224,SPLIT_OR_TIE,10053,1648313,REACHED_THE_HORIZON,10053,1648300,10053,1648300,REACHED_THE_HORIZON,9948,1434,1164,1434,1164,1164,184578,184578,184583,0.9999729119149651,0.9999729119149651,1.0,9942,True,0,True,False,False,-13
552,SELECTIVE,VALIDATION,736,1,1196,1682,SPLIT_OR_TIE,10263,1478800,REACHED_THE_HORIZON,10263,1478798,10263,1478798,REACHED_THE_HORIZON,9342,1296,1048,1296,1048,1048,167495,167495,167495,1.0,1.0,1.0,9067,True,0,True,False,False,-2
552,SHAM,VALIDATION,736,1,100,197,SPLIT_OR_TIE,10263,1964908,REACHED_THE_HORIZON,2375,17896,10263,1953451,CERTAIN_SET_EXHAUSTED,2263,50,21,1630,1420,21,4902,200904,204015,0.02402764502610102,0.9847511212410852,0.009009568498732735,2275,True,0,True,False,False,-1947012
559,SELECTIVE,DEVELOPMENT,667,1,213,323,SPLIT_OR_TIE,10332,1613843,REACHED_THE_HORIZON,10332,1613842,10332,1613842,REACHED_THE_HORIZON,10149,1437,1196,1437,1196,1196,181752,181752,181752,1.0,1.0,1.0,10119,True,0,True,False,False,-1
559,SHAM,DEVELOPMENT,667,1,226,374,SPLIT_OR_TIE,10332,1760826,REACHED_THE_HORIZON,1392,6817,10332,1755239,CERTAIN_SET_EXHAUSTED,1055,18,4,1555,1294,4,2089,197032,198822,0.010506885555924394,0.9909969721660581,0.0036608952971444674,1166,True,0,True,False,False,-1754009
594,SELECTIVE,DEVELOPMENT,772,1,194,376,SPLIT_OR_TIE,10227,1682628,REACHED_THE_HORIZON,10227,1682626,10227,1682626,REACHED_THE_HORIZON,10104,1516,1242,1516,1242,1242,182344,182344,182344,1.0,1.0,1.0,10033,True,0,True,False,False,-2
594,SHAM,DEVELOPMENT,772,1,400,914,SPLIT_OR_TIE,10227,1751258,REACHED_THE_HORIZON,10227,1751117,10227,1751117,REACHED_THE_HORIZON,10096,1588,1325,1588,1325,1325,186301,186301,186334,0.9998228986658366,0.9998228986658366,1.0,9827,True,0,True,False,False,-141
639,SELECTIVE,DEVELOPMENT,2412,1,728,2633,MERGE,8587,1331434,REACHED_THE_HORIZON,8587,1331433,8587,1331433,REACHED_THE_HORIZON,8137,1214,968,1214,968,968,149791,149791,149791,1.0,1.0,1.0,7859,True,0,True,False,False,-1
639,SHAM,DEVELOPMENT,2412,1,752,864,SPLIT_OR_TIE,8587,1324818,REACHED_THE_HORIZON,2319,8108,8587,1280894,CERTAIN_SET_EXHAUSTED,1510,18,10,1121,941,10,2609,146177,156103,0.01671332389512053,0.93641377808242,0.00549036192884206,1567,True,0,True,False,False,-1316710
664,SELECTIVE,DEVELOPMENT,333,1,0,1,MERGE,10666,1684566,REACHED_THE_HORIZON,10666,1684565,10666,1684565,REACHED_THE_HORIZON,10180,1506,1254,1506,1254,1254,184164,184164,184164,1.0,1.0,1.0,10666,True,0,True,False,False,-1
664,SHAM,DEVELOPMENT,333,1,0,1,MERGE,10666,1524123,REACHED_THE_HORIZON,32,33,10666,1524089,CERTAIN_SET_EXHAUSTED,0,0,0,1410,1177,0,11,187041,187051,5.8807491005126946e-05,0.9999465386445407,2.0995708345990904e-05,32,True,0,True,False,False,-1524090
743,SELECTIVE,VALIDATION,555,1,110,213,SPLIT_OR_TIE,10444,1746374,REACHED_THE_HORIZON,10444,1746371,10444,1746371,REACHED_THE_HORIZON,10370,1562,1318,1562,1318,1318,197250,197250,197250,1.0,1.0,1.0,10334,True,0,True,False,False,-3
743,SHAM,VALIDATION,555,1,116,117,MERGE,10444,1979785,REACHED_THE_HORIZON,1050,2043,10444,1960662,CERTAIN_SET_EXHAUSTED,432,7,1,1591,1386,1,601,203516,208546,0.0028818581991503075,0.9758806210620199,0.000973112585993646,934,True,0,True,False,False,-1977742
744,SELECTIVE,DEVELOPMENT,620,2,138,386,SPLIT_OR_TIE,10379,1878404,REACHED_THE_HORIZON,10379,1878403,10379,1878403,REACHED_THE_HORIZON,10372,1592,1338,1592,1338,1338,202195,202195,202195,1.0,1.0,1.0,10241,True,0,True,False,False,-1
744,SHAM,DEVELOPMENT,620,2,58,123,SPLIT_OR_TIE,10379,1925691,REACHED_THE_HORIZON,2208,57994,10379,1923821,CERTAIN_SET_EXHAUSTED,2147,124,39,1677,1428,39,12218,208349,208967,0.058468562021754635,0.997042595242311,0.03005491015622363,2150,True,0,True,False,False,-1867697
748,SELECTIVE,DEVELOPMENT,463,2,82,166,SPLIT_OR_TIE,10536,1699435,REACHED_THE_HORIZON,10536,1699433,10536,1699433,REACHED_THE_HORIZON,10499,1550,1286,1550,1286,1286,183857,183857,183857,1.0,1.0,1.0,10454,True,0,True,False,False,-2
748,SHAM,DEVELOPMENT,463,2,3,8,MERGE,10536,1869823,REACHED_THE_HORIZON,990,4066,10536,1866080,CERTAIN_SET_EXHAUSTED,773,10,3,1663,1403,3,1145,204336,205465,0.005572725281678145,0.994505146861996,0.002170277467139657,987,True,0,True,False,False,-1865757
