arm,key,shape,dtype,ndim,cadence,column_semantics,coordinates_present,values_are,per_step_lattice_occupancy_invertible
M__seed9300015,birth_offsets,3447x4,int64,2,event-driven / strided,"(step, dy, dx, count) of X births RELATIVE to the organiser cell",True,aggregate,False
M__seed9300015,birth_substep_ledger,11000x6,int64,2,per step,"(step, + 5 scalar organiser-cell counts) - 1 row per step",True,aggregate,False
M__seed9300015,fields,29,<U19,1,event-driven / strided,names of the series columns,False,other,False
M__seed9300015,frames,220,<U573,1,event-driven / strided,JSON strings: morphology summaries at fixed stride; scalar fields only,False,other,False
M__seed9300015,hop_ledger,44000x4,int64,2,4 rows per step,"(step, species_index, ?, ?) - 4 rows per step, ONE PER DIFFUSING SPECIES: an AGGREGATE sub-step record, not a per-particle displacement",False,aggregate,False
M__seed9300015,molecule_births,3x4,int64,2,event-driven / strided,"(molecule_id, birth_step, birth_y, birth_x) for X components alive at the end",True,individual,False
M__seed9300015,molecule_deaths,4814x5,int64,2,event-driven / strided,"(molecule_id, birth_step, birth_y, birth_x, death_step) - BIRTH coordinates only; no trajectory between birth and death",False,individual,False
M__seed9300015,nSX_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
M__seed9300015,nSY_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
M__seed9300015,nWX_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
M__seed9300015,nWY_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
M__seed9300015,nX_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
M__seed9300015,nY_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
M__seed9300015,series,11000x29,float64,2,per step,"(step, then 28 recorded observer fields; see PER_STEP_FIELD_NAMES)",False,aggregate,False
M__seed9300015,source_substep_ledger,44000x6,int64,2,4 rows per step,"(step, species_index, org_y_before, org_x_before, org_y_after, org_x_after) - POSITION-RESOLVED: 4 of 6 columns are lattice coordinates",True,other,False
M__seed9300016,birth_offsets,3961x4,int64,2,event-driven / strided,"(step, dy, dx, count) of X births RELATIVE to the organiser cell",True,aggregate,False
M__seed9300016,birth_substep_ledger,11000x6,int64,2,per step,"(step, + 5 scalar organiser-cell counts) - 1 row per step",True,aggregate,False
M__seed9300016,fields,29,<U19,1,event-driven / strided,names of the series columns,False,other,False
M__seed9300016,frames,220,<U572,1,event-driven / strided,JSON strings: morphology summaries at fixed stride; scalar fields only,False,other,False
M__seed9300016,hop_ledger,44000x4,int64,2,4 rows per step,"(step, species_index, ?, ?) - 4 rows per step, ONE PER DIFFUSING SPECIES: an AGGREGATE sub-step record, not a per-particle displacement",False,aggregate,False
M__seed9300016,molecule_births,112x4,int64,2,event-driven / strided,"(molecule_id, birth_step, birth_y, birth_x) for X components alive at the end",True,individual,False
M__seed9300016,molecule_deaths,5314x5,int64,2,event-driven / strided,"(molecule_id, birth_step, birth_y, birth_x, death_step) - BIRTH coordinates only; no trajectory between birth and death",False,individual,False
M__seed9300016,nSX_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
M__seed9300016,nSY_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
M__seed9300016,nWX_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
M__seed9300016,nWY_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
M__seed9300016,nX_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
M__seed9300016,nY_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
M__seed9300016,series,11000x29,float64,2,per step,"(step, then 28 recorded observer fields; see PER_STEP_FIELD_NAMES)",False,aggregate,False
M__seed9300016,source_substep_ledger,44000x6,int64,2,4 rows per step,"(step, species_index, org_y_before, org_x_before, org_y_after, org_x_after) - POSITION-RESOLVED: 4 of 6 columns are lattice coordinates",True,other,False
M__seed9300017,birth_offsets,3890x4,int64,2,event-driven / strided,"(step, dy, dx, count) of X births RELATIVE to the organiser cell",True,aggregate,False
M__seed9300017,birth_substep_ledger,11000x6,int64,2,per step,"(step, + 5 scalar organiser-cell counts) - 1 row per step",True,aggregate,False
M__seed9300017,fields,29,<U19,1,event-driven / strided,names of the series columns,False,other,False
M__seed9300017,frames,220,<U573,1,event-driven / strided,JSON strings: morphology summaries at fixed stride; scalar fields only,False,other,False
M__seed9300017,hop_ledger,44000x4,int64,2,4 rows per step,"(step, species_index, ?, ?) - 4 rows per step, ONE PER DIFFUSING SPECIES: an AGGREGATE sub-step record, not a per-particle displacement",False,aggregate,False
M__seed9300017,molecule_births,107x4,int64,2,event-driven / strided,"(molecule_id, birth_step, birth_y, birth_x) for X components alive at the end",True,individual,False
M__seed9300017,molecule_deaths,5352x5,int64,2,event-driven / strided,"(molecule_id, birth_step, birth_y, birth_x, death_step) - BIRTH coordinates only; no trajectory between birth and death",False,individual,False
M__seed9300017,nSX_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
M__seed9300017,nSY_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
M__seed9300017,nWX_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
M__seed9300017,nWY_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
M__seed9300017,nX_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
M__seed9300017,nY_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
M__seed9300017,series,11000x29,float64,2,per step,"(step, then 28 recorded observer fields; see PER_STEP_FIELD_NAMES)",False,aggregate,False
M__seed9300017,source_substep_ledger,44000x6,int64,2,4 rows per step,"(step, species_index, org_y_before, org_x_before, org_y_after, org_x_after) - POSITION-RESOLVED: 4 of 6 columns are lattice coordinates",True,other,False
M__seed9300018,birth_offsets,3903x4,int64,2,event-driven / strided,"(step, dy, dx, count) of X births RELATIVE to the organiser cell",True,aggregate,False
M__seed9300018,birth_substep_ledger,11000x6,int64,2,per step,"(step, + 5 scalar organiser-cell counts) - 1 row per step",True,aggregate,False
M__seed9300018,fields,29,<U19,1,event-driven / strided,names of the series columns,False,other,False
M__seed9300018,frames,220,<U573,1,event-driven / strided,JSON strings: morphology summaries at fixed stride; scalar fields only,False,other,False
M__seed9300018,hop_ledger,44000x4,int64,2,4 rows per step,"(step, species_index, ?, ?) - 4 rows per step, ONE PER DIFFUSING SPECIES: an AGGREGATE sub-step record, not a per-particle displacement",False,aggregate,False
M__seed9300018,molecule_births,110x4,int64,2,event-driven / strided,"(molecule_id, birth_step, birth_y, birth_x) for X components alive at the end",True,individual,False
M__seed9300018,molecule_deaths,5294x5,int64,2,event-driven / strided,"(molecule_id, birth_step, birth_y, birth_x, death_step) - BIRTH coordinates only; no trajectory between birth and death",False,individual,False
M__seed9300018,nSX_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
M__seed9300018,nSY_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
M__seed9300018,nWX_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
M__seed9300018,nWY_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
M__seed9300018,nX_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
M__seed9300018,nY_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
M__seed9300018,series,11000x29,float64,2,per step,"(step, then 28 recorded observer fields; see PER_STEP_FIELD_NAMES)",False,aggregate,False
M__seed9300018,source_substep_ledger,44000x6,int64,2,4 rows per step,"(step, species_index, org_y_before, org_x_before, org_y_after, org_x_after) - POSITION-RESOLVED: 4 of 6 columns are lattice coordinates",True,other,False
M__seed9300019,birth_offsets,3851x4,int64,2,event-driven / strided,"(step, dy, dx, count) of X births RELATIVE to the organiser cell",True,aggregate,False
M__seed9300019,birth_substep_ledger,11000x6,int64,2,per step,"(step, + 5 scalar organiser-cell counts) - 1 row per step",True,aggregate,False
M__seed9300019,fields,29,<U19,1,event-driven / strided,names of the series columns,False,other,False
M__seed9300019,frames,220,<U572,1,event-driven / strided,JSON strings: morphology summaries at fixed stride; scalar fields only,False,other,False
M__seed9300019,hop_ledger,44000x4,int64,2,4 rows per step,"(step, species_index, ?, ?) - 4 rows per step, ONE PER DIFFUSING SPECIES: an AGGREGATE sub-step record, not a per-particle displacement",False,aggregate,False
M__seed9300019,molecule_births,118x4,int64,2,event-driven / strided,"(molecule_id, birth_step, birth_y, birth_x) for X components alive at the end",True,individual,False
M__seed9300019,molecule_deaths,5203x5,int64,2,event-driven / strided,"(molecule_id, birth_step, birth_y, birth_x, death_step) - BIRTH coordinates only; no trajectory between birth and death",False,individual,False
M__seed9300019,nSX_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
M__seed9300019,nSY_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
M__seed9300019,nWX_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
M__seed9300019,nWY_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
M__seed9300019,nX_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
M__seed9300019,nY_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
M__seed9300019,series,11000x29,float64,2,per step,"(step, then 28 recorded observer fields; see PER_STEP_FIELD_NAMES)",False,aggregate,False
M__seed9300019,source_substep_ledger,44000x6,int64,2,4 rows per step,"(step, species_index, org_y_before, org_x_before, org_y_after, org_x_after) - POSITION-RESOLVED: 4 of 6 columns are lattice coordinates",True,other,False
M__seed9300020,birth_offsets,3841x4,int64,2,event-driven / strided,"(step, dy, dx, count) of X births RELATIVE to the organiser cell",True,aggregate,False
M__seed9300020,birth_substep_ledger,11000x6,int64,2,per step,"(step, + 5 scalar organiser-cell counts) - 1 row per step",True,aggregate,False
M__seed9300020,fields,29,<U19,1,event-driven / strided,names of the series columns,False,other,False
M__seed9300020,frames,220,<U573,1,event-driven / strided,JSON strings: morphology summaries at fixed stride; scalar fields only,False,other,False
M__seed9300020,hop_ledger,44000x4,int64,2,4 rows per step,"(step, species_index, ?, ?) - 4 rows per step, ONE PER DIFFUSING SPECIES: an AGGREGATE sub-step record, not a per-particle displacement",False,aggregate,False
M__seed9300020,molecule_births,123x4,int64,2,event-driven / strided,"(molecule_id, birth_step, birth_y, birth_x) for X components alive at the end",True,individual,False
M__seed9300020,molecule_deaths,5253x5,int64,2,event-driven / strided,"(molecule_id, birth_step, birth_y, birth_x, death_step) - BIRTH coordinates only; no trajectory between birth and death",False,individual,False
M__seed9300020,nSX_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
M__seed9300020,nSY_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
M__seed9300020,nWX_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
M__seed9300020,nWY_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
M__seed9300020,nX_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
M__seed9300020,nY_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
M__seed9300020,series,11000x29,float64,2,per step,"(step, then 28 recorded observer fields; see PER_STEP_FIELD_NAMES)",False,aggregate,False
M__seed9300020,source_substep_ledger,44000x6,int64,2,4 rows per step,"(step, species_index, org_y_before, org_x_before, org_y_after, org_x_after) - POSITION-RESOLVED: 4 of 6 columns are lattice coordinates",True,other,False
M__seed9300021,birth_offsets,3884x4,int64,2,event-driven / strided,"(step, dy, dx, count) of X births RELATIVE to the organiser cell",True,aggregate,False
M__seed9300021,birth_substep_ledger,11000x6,int64,2,per step,"(step, + 5 scalar organiser-cell counts) - 1 row per step",True,aggregate,False
M__seed9300021,fields,29,<U19,1,event-driven / strided,names of the series columns,False,other,False
M__seed9300021,frames,220,<U572,1,event-driven / strided,JSON strings: morphology summaries at fixed stride; scalar fields only,False,other,False
M__seed9300021,hop_ledger,44000x4,int64,2,4 rows per step,"(step, species_index, ?, ?) - 4 rows per step, ONE PER DIFFUSING SPECIES: an AGGREGATE sub-step record, not a per-particle displacement",False,aggregate,False
M__seed9300021,molecule_births,92x4,int64,2,event-driven / strided,"(molecule_id, birth_step, birth_y, birth_x) for X components alive at the end",True,individual,False
M__seed9300021,molecule_deaths,5309x5,int64,2,event-driven / strided,"(molecule_id, birth_step, birth_y, birth_x, death_step) - BIRTH coordinates only; no trajectory between birth and death",False,individual,False
M__seed9300021,nSX_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
M__seed9300021,nSY_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
M__seed9300021,nWX_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
M__seed9300021,nWY_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
M__seed9300021,nX_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
M__seed9300021,nY_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
M__seed9300021,series,11000x29,float64,2,per step,"(step, then 28 recorded observer fields; see PER_STEP_FIELD_NAMES)",False,aggregate,False
M__seed9300021,source_substep_ledger,44000x6,int64,2,4 rows per step,"(step, species_index, org_y_before, org_x_before, org_y_after, org_x_after) - POSITION-RESOLVED: 4 of 6 columns are lattice coordinates",True,other,False
M__seed9300022,birth_offsets,4003x4,int64,2,event-driven / strided,"(step, dy, dx, count) of X births RELATIVE to the organiser cell",True,aggregate,False
M__seed9300022,birth_substep_ledger,11000x6,int64,2,per step,"(step, + 5 scalar organiser-cell counts) - 1 row per step",True,aggregate,False
M__seed9300022,fields,29,<U19,1,event-driven / strided,names of the series columns,False,other,False
M__seed9300022,frames,220,<U571,1,event-driven / strided,JSON strings: morphology summaries at fixed stride; scalar fields only,False,other,False
M__seed9300022,hop_ledger,44000x4,int64,2,4 rows per step,"(step, species_index, ?, ?) - 4 rows per step, ONE PER DIFFUSING SPECIES: an AGGREGATE sub-step record, not a per-particle displacement",False,aggregate,False
M__seed9300022,molecule_births,128x4,int64,2,event-driven / strided,"(molecule_id, birth_step, birth_y, birth_x) for X components alive at the end",True,individual,False
M__seed9300022,molecule_deaths,5477x5,int64,2,event-driven / strided,"(molecule_id, birth_step, birth_y, birth_x, death_step) - BIRTH coordinates only; no trajectory between birth and death",False,individual,False
M__seed9300022,nSX_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
M__seed9300022,nSY_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
M__seed9300022,nWX_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
M__seed9300022,nWY_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
M__seed9300022,nX_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
M__seed9300022,nY_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
M__seed9300022,series,11000x29,float64,2,per step,"(step, then 28 recorded observer fields; see PER_STEP_FIELD_NAMES)",False,aggregate,False
M__seed9300022,source_substep_ledger,44000x6,int64,2,4 rows per step,"(step, species_index, org_y_before, org_x_before, org_y_after, org_x_after) - POSITION-RESOLVED: 4 of 6 columns are lattice coordinates",True,other,False
M__seed9300023,birth_offsets,3893x4,int64,2,event-driven / strided,"(step, dy, dx, count) of X births RELATIVE to the organiser cell",True,aggregate,False
M__seed9300023,birth_substep_ledger,11000x6,int64,2,per step,"(step, + 5 scalar organiser-cell counts) - 1 row per step",True,aggregate,False
M__seed9300023,fields,29,<U19,1,event-driven / strided,names of the series columns,False,other,False
M__seed9300023,frames,220,<U573,1,event-driven / strided,JSON strings: morphology summaries at fixed stride; scalar fields only,False,other,False
M__seed9300023,hop_ledger,44000x4,int64,2,4 rows per step,"(step, species_index, ?, ?) - 4 rows per step, ONE PER DIFFUSING SPECIES: an AGGREGATE sub-step record, not a per-particle displacement",False,aggregate,False
M__seed9300023,molecule_births,127x4,int64,2,event-driven / strided,"(molecule_id, birth_step, birth_y, birth_x) for X components alive at the end",True,individual,False
M__seed9300023,molecule_deaths,5291x5,int64,2,event-driven / strided,"(molecule_id, birth_step, birth_y, birth_x, death_step) - BIRTH coordinates only; no trajectory between birth and death",False,individual,False
M__seed9300023,nSX_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
M__seed9300023,nSY_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
M__seed9300023,nWX_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
M__seed9300023,nWY_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
M__seed9300023,nX_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
M__seed9300023,nY_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
M__seed9300023,series,11000x29,float64,2,per step,"(step, then 28 recorded observer fields; see PER_STEP_FIELD_NAMES)",False,aggregate,False
M__seed9300023,source_substep_ledger,44000x6,int64,2,4 rows per step,"(step, species_index, org_y_before, org_x_before, org_y_after, org_x_after) - POSITION-RESOLVED: 4 of 6 columns are lattice coordinates",True,other,False
M__seed9300024,birth_offsets,3932x4,int64,2,event-driven / strided,"(step, dy, dx, count) of X births RELATIVE to the organiser cell",True,aggregate,False
M__seed9300024,birth_substep_ledger,11000x6,int64,2,per step,"(step, + 5 scalar organiser-cell counts) - 1 row per step",True,aggregate,False
M__seed9300024,fields,29,<U19,1,event-driven / strided,names of the series columns,False,other,False
M__seed9300024,frames,220,<U571,1,event-driven / strided,JSON strings: morphology summaries at fixed stride; scalar fields only,False,other,False
M__seed9300024,hop_ledger,44000x4,int64,2,4 rows per step,"(step, species_index, ?, ?) - 4 rows per step, ONE PER DIFFUSING SPECIES: an AGGREGATE sub-step record, not a per-particle displacement",False,aggregate,False
M__seed9300024,molecule_births,131x4,int64,2,event-driven / strided,"(molecule_id, birth_step, birth_y, birth_x) for X components alive at the end",True,individual,False
M__seed9300024,molecule_deaths,5290x5,int64,2,event-driven / strided,"(molecule_id, birth_step, birth_y, birth_x, death_step) - BIRTH coordinates only; no trajectory between birth and death",False,individual,False
M__seed9300024,nSX_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
M__seed9300024,nSY_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
M__seed9300024,nWX_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
M__seed9300024,nWY_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
M__seed9300024,nX_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
M__seed9300024,nY_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
M__seed9300024,series,11000x29,float64,2,per step,"(step, then 28 recorded observer fields; see PER_STEP_FIELD_NAMES)",False,aggregate,False
M__seed9300024,source_substep_ledger,44000x6,int64,2,4 rows per step,"(step, species_index, org_y_before, org_x_before, org_y_after, org_x_after) - POSITION-RESOLVED: 4 of 6 columns are lattice coordinates",True,other,False
M__seed9300025,birth_offsets,3914x4,int64,2,event-driven / strided,"(step, dy, dx, count) of X births RELATIVE to the organiser cell",True,aggregate,False
M__seed9300025,birth_substep_ledger,11000x6,int64,2,per step,"(step, + 5 scalar organiser-cell counts) - 1 row per step",True,aggregate,False
M__seed9300025,fields,29,<U19,1,event-driven / strided,names of the series columns,False,other,False
M__seed9300025,frames,220,<U573,1,event-driven / strided,JSON strings: morphology summaries at fixed stride; scalar fields only,False,other,False
M__seed9300025,hop_ledger,44000x4,int64,2,4 rows per step,"(step, species_index, ?, ?) - 4 rows per step, ONE PER DIFFUSING SPECIES: an AGGREGATE sub-step record, not a per-particle displacement",False,aggregate,False
M__seed9300025,molecule_births,107x4,int64,2,event-driven / strided,"(molecule_id, birth_step, birth_y, birth_x) for X components alive at the end",True,individual,False
M__seed9300025,molecule_deaths,5324x5,int64,2,event-driven / strided,"(molecule_id, birth_step, birth_y, birth_x, death_step) - BIRTH coordinates only; no trajectory between birth and death",False,individual,False
M__seed9300025,nSX_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
M__seed9300025,nSY_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
M__seed9300025,nWX_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
M__seed9300025,nWY_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
M__seed9300025,nX_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
M__seed9300025,nY_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
M__seed9300025,series,11000x29,float64,2,per step,"(step, then 28 recorded observer fields; see PER_STEP_FIELD_NAMES)",False,aggregate,False
M__seed9300025,source_substep_ledger,44000x6,int64,2,4 rows per step,"(step, species_index, org_y_before, org_x_before, org_y_after, org_x_after) - POSITION-RESOLVED: 4 of 6 columns are lattice coordinates",True,other,False
M__seed9300026,birth_offsets,3933x4,int64,2,event-driven / strided,"(step, dy, dx, count) of X births RELATIVE to the organiser cell",True,aggregate,False
M__seed9300026,birth_substep_ledger,11000x6,int64,2,per step,"(step, + 5 scalar organiser-cell counts) - 1 row per step",True,aggregate,False
M__seed9300026,fields,29,<U19,1,event-driven / strided,names of the series columns,False,other,False
M__seed9300026,frames,220,<U572,1,event-driven / strided,JSON strings: morphology summaries at fixed stride; scalar fields only,False,other,False
M__seed9300026,hop_ledger,44000x4,int64,2,4 rows per step,"(step, species_index, ?, ?) - 4 rows per step, ONE PER DIFFUSING SPECIES: an AGGREGATE sub-step record, not a per-particle displacement",False,aggregate,False
M__seed9300026,molecule_births,118x4,int64,2,event-driven / strided,"(molecule_id, birth_step, birth_y, birth_x) for X components alive at the end",True,individual,False
M__seed9300026,molecule_deaths,5312x5,int64,2,event-driven / strided,"(molecule_id, birth_step, birth_y, birth_x, death_step) - BIRTH coordinates only; no trajectory between birth and death",False,individual,False
M__seed9300026,nSX_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
M__seed9300026,nSY_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
M__seed9300026,nWX_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
M__seed9300026,nWY_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
M__seed9300026,nX_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
M__seed9300026,nY_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
M__seed9300026,series,11000x29,float64,2,per step,"(step, then 28 recorded observer fields; see PER_STEP_FIELD_NAMES)",False,aggregate,False
M__seed9300026,source_substep_ledger,44000x6,int64,2,4 rows per step,"(step, species_index, org_y_before, org_x_before, org_y_after, org_x_after) - POSITION-RESOLVED: 4 of 6 columns are lattice coordinates",True,other,False
M__seed9300027,birth_offsets,4016x4,int64,2,event-driven / strided,"(step, dy, dx, count) of X births RELATIVE to the organiser cell",True,aggregate,False
M__seed9300027,birth_substep_ledger,11000x6,int64,2,per step,"(step, + 5 scalar organiser-cell counts) - 1 row per step",True,aggregate,False
M__seed9300027,fields,29,<U19,1,event-driven / strided,names of the series columns,False,other,False
M__seed9300027,frames,220,<U572,1,event-driven / strided,JSON strings: morphology summaries at fixed stride; scalar fields only,False,other,False
M__seed9300027,hop_ledger,44000x4,int64,2,4 rows per step,"(step, species_index, ?, ?) - 4 rows per step, ONE PER DIFFUSING SPECIES: an AGGREGATE sub-step record, not a per-particle displacement",False,aggregate,False
M__seed9300027,molecule_births,118x4,int64,2,event-driven / strided,"(molecule_id, birth_step, birth_y, birth_x) for X components alive at the end",True,individual,False
M__seed9300027,molecule_deaths,5491x5,int64,2,event-driven / strided,"(molecule_id, birth_step, birth_y, birth_x, death_step) - BIRTH coordinates only; no trajectory between birth and death",False,individual,False
M__seed9300027,nSX_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
M__seed9300027,nSY_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
M__seed9300027,nWX_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
M__seed9300027,nWY_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
M__seed9300027,nX_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
M__seed9300027,nY_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
M__seed9300027,series,11000x29,float64,2,per step,"(step, then 28 recorded observer fields; see PER_STEP_FIELD_NAMES)",False,aggregate,False
M__seed9300027,source_substep_ledger,44000x6,int64,2,4 rows per step,"(step, species_index, org_y_before, org_x_before, org_y_after, org_x_after) - POSITION-RESOLVED: 4 of 6 columns are lattice coordinates",True,other,False
S__seed9300000,birth_offsets,3155x4,int64,2,event-driven / strided,"(step, dy, dx, count) of X births RELATIVE to the organiser cell",True,aggregate,False
