arm_id,branch,usable_frames,Q_mean,Q_median,Q_var,Q_sd,Q_min,Q_max,Q_q05,Q_q10,Q_q25,frac_Q_zero,n_zero_episodes,mean_zero_run,max_zero_run,acf1,acf5,iat,n_eff_blocks,early_late_drift,corr_Q_nX,corr_Q_nSY,corr_Q_free,mean_nX_at_org,mean_nSY_at_org,mean_free_at_org,mean_cand_Y,n_org_cells_always_one,frac_frames_clamp_relevant_kY1
M__seed9300024,M,9000,3.240111111111111,0.0,22.453619278685284,4.738525010874722,0.0,28.0,0.0,0.0,0.0,0.5372222222222223,1052,4.596007604562738,33,0.6580496046742784,0.15314268553811602,5.343979088471631,1684.1383267040412,-0.7126666666666663,0.24132481230787695,0.6978020682641907,-0.5634325788574704,4.515,0.8962222222222223,8.93688888888889,0.8782222222222222,True,0.938
M__seed9300025,M,9000,3.0476666666666667,0.0,21.156189687743083,4.599585816977773,0.0,28.0,0.0,0.0,0.0,0.5516666666666666,1053,4.715099715099715,29,0.637590629545824,0.15523851673296338,5.335475767463936,1686.822392650073,-0.1166666666666667,0.27195128084317516,0.6657638583628233,-0.5795653412440399,4.280666666666667,0.8977777777777778,9.146444444444445,0.8886666666666667,True,0.922
M__seed9300026,M,9000,3.1585555555555556,0.0,22.39101469299058,4.731914484961725,0.0,28.0,0.0,0.0,0.0,0.5402222222222223,1052,4.6216730038022815,38,0.6629010383048107,0.18694894388292513,7.133116253354841,1261.720639386345,-0.01633333333333331,0.2850907771042114,0.6195146785044453,-0.5697166271485505,4.219555555555556,0.9785555555555555,9.07188888888889,0.9507777777777778,True,0.9093333333333333
M__seed9300027,M,9000,3.382,0.0,24.335668852094678,4.933119586234929,0.0,28.0,0.0,0.0,0.0,0.5332222222222223,1062,4.518832391713747,85,0.6601237856003336,0.15550073068686318,12.065248066751565,745.9440494059523,0.13866666666666694,0.27537432041938903,0.6334362827202766,-0.5614401481982678,4.446444444444444,0.9804444444444445,8.852555555555556,0.9581111111111111,True,0.9175555555555556
S__seed9300000,S,9000,2.493,0.0,18.003951439048784,4.243106343122782,0.0,28.0,0.0,0.0,0.0,0.6483333333333333,984,5.929878048780488,52,0.6431793232423639,0.20008686067786027,6.83704950283814,1316.357296559575,0.36933333333333307,0.20919058677953709,0.8839969234956663,-0.47254949740708024,5.3967777777777775,0.48388888888888887,8.762333333333334,0.477,True,0.9893333333333333
S__seed9300001,S,9000,2.339888888888889,0.0,15.976361805632724,3.99704413356079,0.0,28.0,0.0,0.0,0.0,0.6551111111111111,1010,5.8376237623762375,35,0.6212819717703862,0.17485831629724882,6.984991289749321,1288.476910945868,0.20866666666666678,0.24304510587253,0.8759872096288491,-0.4906241356425009,5.290555555555556,0.4527777777777778,8.900777777777778,0.4497777777777778,True,0.9917777777777778
S__seed9300002,S,9000,2.355111111111111,0.0,15.624743292464597,3.952814603856927,0.0,28.0,0.0,0.0,0.0,0.6437777777777778,998,5.80561122244489,46,0.6232902495477002,0.168328109965149,6.244685435892996,1441.2255176650049,0.48666666666666636,0.2434467344772129,0.8907475946046369,-0.4924457653145649,5.118222222222222,0.46655555555555556,9.070222222222222,0.46255555555555555,True,0.9922222222222222
S__seed9300003,S,9000,2.3382222222222224,0.0,16.13739877270314,4.017138132141231,0.0,28.0,0.0,0.0,0.0,0.6451111111111111,979,5.930541368743616,42,0.6375822639345938,0.18217939362555002,6.5226666731712,1379.8037598668777,0.008333333333333304,0.236226642445862,0.8614360890405772,-0.4705261690403079,5.036666666666667,0.48433333333333334,9.115555555555556,0.483,True,0.9757777777777777
S__seed9300004,S,9000,2.375777777777778,0.0,15.84499606129076,3.9805773527581096,0.0,28.0,0.0,0.0,0.0,0.6422222222222222,983,5.879959308240081,41,0.6301487406925633,0.14544185432906365,7.537640172297697,1194.0076461963204,-0.422333333333333,0.23050116788726183,0.8993373299137909,-0.4845834406988027,5.232666666666667,0.46244444444444444,8.953222222222223,0.45866666666666667,True,0.9937777777777778
S__seed9300005,S,9000,2.1835555555555555,0.0,13.556924794112927,3.681972948585164,0.0,27.0,0.0,0.0,0.0,0.6538888888888889,961,6.123829344432883,65,0.6034409848587617,0.17299186951988269,6.736786986494286,1335.9484303189247,0.07500000000000018,0.23617582847983973,0.8409703243797515,-0.46904702450385655,5.060222222222222,0.458,9.131444444444444,0.4553333333333333,True,0.9825555555555555
S__seed9300006,S,9000,2.3866666666666667,0.0,16.28718746527392,4.035738775648632,0.0,28.0,0.0,0.0,0.0,0.6451111111111111,1003,5.788634097706879,50,0.6279437028869951,0.15081767814738886,6.968378825934591,1291.5486119245145,-0.6153333333333335,0.2178732896860428,0.900828437168348,-0.47226550499912046,5.216111111111111,0.4646666666666667,8.960777777777778,0.4618888888888889,True,0.9926666666666667
S__seed9300007,S,9000,2.319777777777778,0.0,16.30310918497117,4.037710884272321,0.0,28.0,0.0,0.0,0.0,0.6531111111111111,1018,5.774066797642436,37,0.6299927753987553,0.16217367821663192,7.422676214619179,1212.5006857060846,0.1413333333333333,0.23307436604441994,0.860519966506343,-0.4761306316764557,5.205333333333333,0.4668888888888889,8.970666666666666,0.45944444444444443,True,0.9886666666666667
S__seed9300008,S,9000,2.342888888888889,0.0,15.949088219678728,3.9936309568710437,0.0,28.0,0.0,0.0,0.0,0.647,1020,5.708823529411765,32,0.6161563154636368,0.1842790020839666,6.666442540322106,1350.0453871106406,0.10099999999999998,0.23661267615945625,0.8830450518302173,-0.4830566622413913,5.177,0.4622222222222222,9.005555555555556,0.4602222222222222,True,0.9918888888888889
S__seed9300009,S,9000,2.482666666666667,0.0,17.450527391932436,4.177382840000715,0.0,28.0,0.0,0.0,0.0,0.6437777777777778,1005,5.765174129353234,40,0.6411276913026355,0.16965763660231228,9.718588506357806,926.0604041535752,0.3856666666666668,0.24488235911420744,0.8759604506807276,-0.489149849640153,5.333222222222222,0.4771111111111111,8.825777777777779,0.47344444444444445,True,0.9905555555555555
S__seed9300010,S,9000,2.3775555555555554,0.0,16.543067698880122,4.06731701479982,0.0,28.0,0.0,0.0,0.0,0.6531111111111111,993,5.919436052366566,44,0.6031085537990191,0.15330089508051234,8.521228052833635,1056.1857920240916,-0.42666666666666675,0.2518594495244428,0.8649878715338057,-0.47982214142424456,5.265,0.4642222222222222,8.901444444444444,0.46066666666666667,True,0.9834444444444445
S__seed9300011,S,9000,2.4953333333333334,0.0,16.555373263695966,4.068829470953037,0.0,28.0,0.0,0.0,0.0,0.6264444444444445,1005,5.609950248756219,32,0.6142265354200941,0.12520702119509283,7.429191432597908,1211.4373524566452,-0.20233333333333325,0.19082123195708703,0.8746755830712224,-0.4458030680048215,5.328777777777778,0.49877777777777776,8.799555555555555,0.4912222222222222,True,0.9936666666666667
S__seed9300012,S,9000,2.5985555555555555,0.0,18.24875888678989,4.271856608875103,0.0,28.0,0.0,0.0,0.0,0.6321111111111111,1016,5.599409448818897,36,0.6333239595012045,0.18885673283572282,5.783178142663348,1556.2377256902546,0.16466666666666674,0.23291697829122376,0.8734631365783747,-0.4906437337755683,5.359444444444445,0.4978888888888889,8.777888888888889,0.4908888888888889,True,0.9903333333333333
S__seed9300013,S,9000,2.0776666666666666,0.0,13.731826980775644,3.70564798392611,0.0,24.0,0.0,0.0,0.0,0.6683333333333333,954,6.30503144654088,50,0.6228386484231312,0.17109938487506768,7.106688058023876,1266.4126983649523,0.5393333333333334,0.24059930632556098,0.8449676403246971,-0.4838227348205186,4.893666666666666,0.44377777777777777,9.327444444444444,0.4398888888888889,True,0.9828888888888889
