block,seed,W1_0_to_1_3_efold_mass_SELECTIVE,W1_0_to_1_3_efold_mass_SHAM,W1_0_to_1_3_efold_mass_GLOBAL,W1_0_to_1_3_efold_births_SELECTIVE,W1_0_to_1_3_efold_births_SHAM,W1_0_to_1_3_efold_births_GLOBAL,W1_0_to_1_3_efold_DAUGHTER_ONLY_mass,W1_0_to_1_3_efold_PARENT_INCREMENT_mass,W1_0_to_1_3_efold_FULL_SOURCE_mass,W1_0_to_1_3_efold_DAUGHTER_ONLY_birth,W1_0_to_1_3_efold_PARENT_INCREMENT_birth,W1_0_to_1_3_efold_FULL_SOURCE_birth,W2_1_3_to_2_3_efold_mass_SELECTIVE,W2_1_3_to_2_3_efold_mass_SHAM,W2_1_3_to_2_3_efold_mass_GLOBAL,W2_1_3_to_2_3_efold_births_SELECTIVE,W2_1_3_to_2_3_efold_births_SHAM,W2_1_3_to_2_3_efold_births_GLOBAL,W2_1_3_to_2_3_efold_DAUGHTER_ONLY_mass,W2_1_3_to_2_3_efold_PARENT_INCREMENT_mass,W2_1_3_to_2_3_efold_FULL_SOURCE_mass,W2_1_3_to_2_3_efold_DAUGHTER_ONLY_birth,W2_1_3_to_2_3_efold_PARENT_INCREMENT_birth,W2_1_3_to_2_3_efold_FULL_SOURCE_birth,W3_2_3_to_1_efold_mass_SELECTIVE,W3_2_3_to_1_efold_mass_SHAM,W3_2_3_to_1_efold_mass_GLOBAL,W3_2_3_to_1_efold_births_SELECTIVE,W3_2_3_to_1_efold_births_SHAM,W3_2_3_to_1_efold_births_GLOBAL,W3_2_3_to_1_efold_DAUGHTER_ONLY_mass,W3_2_3_to_1_efold_PARENT_INCREMENT_mass,W3_2_3_to_1_efold_FULL_SOURCE_mass,W3_2_3_to_1_efold_DAUGHTER_ONLY_birth,W3_2_3_to_1_efold_PARENT_INCREMENT_birth,W3_2_3_to_1_efold_FULL_SOURCE_birth,end_mass_SELECTIVE,end_mass_SHAM,end_mass_GLOBAL,births_SELECTIVE,births_SHAM,births_GLOBAL
38,967857741,80.29761904761905,72.73809523809524,56.083333333333336,42.0,40.0,0.0,24.214285714285715,-7.55952380952381,16.654761904761905,42.0,-2.0,40.0,69.09638554216868,98.04819277108433,36.096385542168676,24.0,65.0,0.0,33.0,28.951807228915655,61.951807228915655,24.0,41.0,65.0,71.02409638554217,104.36144578313252,25.397590361445783,49.0,57.0,0.0,45.626506024096386,33.33734939759036,78.96385542168674,49.0,8.0,57.0,75.0,106.0,22.0,115.0,162.0,0.0
44,954473641,70.19047619047619,60.26190476190476,51.964285714285715,36.0,36.0,0.0,18.226190476190474,-9.92857142857143,8.297619047619044,36.0,0.0,36.0,75.83132530120481,71.49397590361446,28.337349397590362,38.0,38.0,0.0,47.493975903614455,-4.3373493975903585,43.1566265060241,38.0,0.0,38.0,73.73493975903614,55.28915662650602,18.83132530120482,46.0,5.0,0.0,54.90361445783132,-18.445783132530117,36.4578313253012,46.0,-41.0,5.0,81.0,42.0,18.0,120.0,79.0,0.0
50,986583535,87.55952380952381,90.36904761904762,67.97619047619048,44.0,45.0,0.0,19.58333333333333,2.80952380952381,22.39285714285714,44.0,1.0,45.0,91.28915662650603,91.04819277108433,37.975903614457835,58.0,47.0,0.0,53.31325301204819,-0.24096385542169685,53.072289156626496,58.0,-11.0,47.0,92.10843373493977,120.92771084337349,23.313253012048193,43.0,78.0,0.0,68.79518072289157,28.819277108433724,97.6144578313253,43.0,35.0,78.0,86.0,139.0,19.0,145.0,170.0,0.0
60,945670394,70.94047619047619,72.83333333333333,57.226190476190474,39.0,49.0,0.0,13.714285714285715,1.8928571428571388,15.607142857142854,39.0,10.0,49.0,64.59036144578313,61.566265060240966,38.373493975903614,30.0,0.0,0.0,26.216867469879517,-3.0240963855421654,23.192771084337352,30.0,-30.0,0.0,55.31325301204819,41.40963855421687,18.27710843373494,10.0,0.0,0.0,37.036144578313255,-13.903614457831324,23.132530120481928,10.0,-10.0,0.0,45.0,38.0,10.0,79.0,49.0,0.0
61,982915845,93.17857142857143,88.69047619047619,70.98809523809524,47.0,35.0,0.0,22.19047619047619,-4.488095238095241,17.70238095238095,47.0,-12.0,35.0,93.37349397590361,97.08433734939759,46.72289156626506,45.0,37.0,0.0,46.65060240963855,3.7108433734939723,50.361445783132524,45.0,-8.0,37.0,86.01204819277109,85.80722891566265,29.349397590361445,35.0,42.0,0.0,56.66265060240964,-0.2048192771084416,56.4578313253012,35.0,7.0,42.0,81.0,89.0,23.0,127.0,114.0,0.0
67,953453832,59.583333333333336,71.46428571428571,50.79761904761905,25.0,48.0,0.0,8.785714285714285,11.880952380952372,20.666666666666657,25.0,23.0,48.0,46.493975903614455,73.62650602409639,29.27710843373494,23.0,37.0,0.0,17.216867469879514,27.13253012048193,44.34939759036145,23.0,14.0,37.0,44.096385542168676,68.60240963855422,17.662650602409638,22.0,13.0,0.0,26.433734939759038,24.506024096385545,50.93975903614458,22.0,-9.0,13.0,36.0,55.0,15.0,70.0,98.0,0.0
69,975858008,60.86904761904762,58.333333333333336,42.845238095238095,38.0,34.0,0.0,18.023809523809526,-2.5357142857142847,15.48809523809524,38.0,-4.0,34.0,64.72289156626506,55.59036144578313,28.204819277108435,36.0,21.0,0.0,36.51807228915663,-9.132530120481931,27.385542168674696,36.0,-15.0,21.0,59.855421686746986,60.55421686746988,19.132530120481928,31.0,46.0,0.0,40.72289156626506,0.6987951807228967,41.42168674698796,31.0,15.0,46.0,61.0,65.0,15.0,105.0,101.0,0.0
70,968435887,66.32142857142857,65.05952380952381,51.023809523809526,36.0,23.0,0.0,15.297619047619044,-1.2619047619047592,14.035714285714285,36.0,-13.0,23.0,66.93975903614458,61.493975903614455,39.265060240963855,11.0,17.0,0.0,27.674698795180724,-5.445783132530124,22.2289156626506,11.0,6.0,17.0,53.72289156626506,68.19277108433735,18.44578313253012,0.0,53.0,0.0,35.27710843373494,14.46987951807229,49.74698795180723,0.0,53.0,53.0,48.0,69.0,15.0,47.0,93.0,0.0
80,982257479,88.91666666666667,76.6547619047619,62.30952380952381,52.0,33.0,0.0,26.60714285714286,-12.261904761904773,14.345238095238088,52.0,-19.0,33.0,93.09638554216868,82.08433734939759,38.373493975903614,52.0,38.0,0.0,54.72289156626506,-11.01204819277109,43.71084337349397,52.0,-14.0,38.0,88.81927710843374,79.3855421686747,23.240963855421686,43.0,43.0,0.0,65.57831325301206,-9.433734939759034,56.14457831325302,43.0,0.0,43.0,80.0,83.0,19.0,147.0,114.0,0.0
83,956882268,73.17857142857143,78.45238095238095,55.82142857142857,45.0,45.0,0.0,17.35714285714286,5.273809523809518,22.63095238095238,45.0,0.0,45.0,79.79518072289157,83.19277108433735,40.69879518072289,30.0,24.0,0.0,39.09638554216868,3.397590361445779,42.49397590361446,30.0,-6.0,24.0,71.18072289156626,83.37349397590361,26.216867469879517,29.0,47.0,0.0,44.963855421686745,12.192771084337352,57.1566265060241,29.0,18.0,47.0,64.0,85.0,21.0,104.0,116.0,0.0
84,955782649,70.75,71.35714285714286,59.51190476190476,34.0,18.0,0.0,11.23809523809524,0.6071428571428612,11.845238095238102,34.0,-16.0,18.0,80.51807228915662,46.9277108433735,41.63855421686747,42.0,0.0,0.0,38.87951807228915,-33.590361445783124,5.289156626506028,42.0,-42.0,0.0,76.3132530120482,23.096385542168676,28.156626506024097,31.0,0.0,0.0,48.1566265060241,-53.21686746987952,-5.060240963855421,31.0,-31.0,0.0,79.0,16.0,20.0,107.0,18.0,0.0
