file,programme,mobile,L,final_X,final_Y,frames,median
L36__seed8100031.npz,OBDI02,True,36,106,1,180,8.602325267042627
L36__seed8100032.npz,OBDI02,True,36,99,1,180,8.246211251235321
L36__seed8100033.npz,OBDI02,True,36,114,1,180,8.54400374531753
L36__seed8100034.npz,OBDI02,True,36,119,1,180,8.154234499766936
L36__seed8100035.npz,OBDI02,True,36,147,1,180,8.06225774829855
L36__seed8100036.npz,OBDI02,True,36,107,1,180,7.905124837953327
L36__seed8100037.npz,OBDI02,True,36,137,1,180,7.280109889280518
L36__seed8100038.npz,OBDI02,True,36,115,1,180,7.810249675906654
L36__seed8100039.npz,OBDI02,True,36,106,1,180,8.365746312736945
L36__seed8100040.npz,OBDI02,True,36,124,1,180,7.280109889280518
L36__seed8100041.npz,OBDI02,True,36,107,1,180,8.54400374531753
L36__seed8100042.npz,OBDI02,True,36,124,1,180,8.06225774829855
L36__seed8100043.npz,OBDI02,True,36,129,1,180,8.06225774829855
L36__seed8100044.npz,OBDI02,True,36,119,1,180,8.51464255977805
L36__seed8100045.npz,OBDI02,True,36,0,1,0,
L72__seed8101000.npz,OBDI02,True,72,125,1,180,8.48528137423857
L72__seed8101001.npz,OBDI02,True,72,114,1,180,8.06225774829855
L72__seed8101002.npz,OBDI02,True,72,144,1,180,8.602325267042627
L72__seed8101003.npz,OBDI02,True,72,114,1,180,8.06225774829855
L72__seed8101004.npz,OBDI02,True,72,119,1,180,8.365746312736945
L72__seed8101005.npz,OBDI02,True,72,110,1,180,8.06225774829855
L72__seed8101006.npz,OBDI02,True,72,0,1,62,11.40175425099138
L72__seed8101007.npz,OBDI02,True,72,114,1,180,8.48528137423857
L72__seed8101008.npz,OBDI02,True,72,0,1,128,8.94427190999916
L72__seed8101009.npz,OBDI02,True,72,122,1,180,8.365746312736945
L72__seed8101010.npz,OBDI02,True,72,108,1,180,8.06225774829855
L72__seed8101011.npz,OBDI02,True,72,1,1,180,8.06225774829855
L72__seed8101012.npz,OBDI02,True,72,102,1,180,8.0
L72__seed8101013.npz,OBDI02,True,72,114,1,180,8.246211251235321
L72__seed8101014.npz,OBDI02,True,72,124,1,180,8.06225774829855
L72__seed8101015.npz,OBDI02,True,72,128,1,180,8.0
L72__seed8101016.npz,OBDI02,True,72,115,1,180,8.246211251235321
L72__seed8101017.npz,OBDI02,True,72,137,1,180,8.06225774829855
L72__seed8101018.npz,OBDI02,True,72,147,1,180,8.54400374531753
L72__seed8101019.npz,OBDI02,True,72,119,1,180,8.48528137423857
L72__seed8101020.npz,OBDI02,True,72,0,1,149,8.06225774829855
L72__seed8101021.npz,OBDI02,True,72,126,1,180,8.031128874149275
L72__seed8101022.npz,OBDI02,True,72,133,1,180,8.602325267042627
L72__seed8101023.npz,OBDI02,True,72,119,1,180,8.06225774829855
L72__seed8101024.npz,OBDI02,True,72,111,1,180,7.810249675906654
L72__seed8101025.npz,OBDI02,True,72,0,1,0,
L72__seed8101026.npz,OBDI02,True,72,122,1,180,7.615773105863909
L72__seed8101027.npz,OBDI02,True,72,0,1,0,
L72__seed8101028.npz,OBDI02,True,72,128,1,180,8.06225774829855
L72__seed8101029.npz,OBDI02,True,72,72,1,180,8.0
L72__seed8101030.npz,OBDI02,True,72,107,1,180,7.615773105863909
L72__seed8101031.npz,OBDI02,True,72,103,1,180,8.246211251235321
L72__seed8101032.npz,OBDI02,True,72,0,1,179,8.246211251235321
L72__seed8101033.npz,OBDI02,True,72,118,1,180,8.06225774829855
L72__seed8101034.npz,OBDI02,True,72,0,1,0,
L72__seed8101035.npz,OBDI02,True,72,128,1,180,8.06225774829855
L72__seed8101036.npz,OBDI02,True,72,0,1,0,
L72__seed8101037.npz,OBDI02,True,72,131,1,180,8.51464255977805
L72__seed8101038.npz,OBDI02,True,72,109,1,180,7.810249675906654
L72__seed8101039.npz,OBDI02,True,72,126,1,180,8.06225774829855
L72__seed8101040.npz,OBDI02,True,72,115,1,180,7.810249675906654
L72__seed8101041.npz,OBDI02,True,72,123,1,180,8.246211251235321
L72__seed8101042.npz,OBDI02,True,72,89,1,180,8.06225774829855
L72__seed8101043.npz,OBDI02,True,72,128,1,180,8.48528137423857
L72__seed8101044.npz,OBDI02,True,72,132,1,180,8.06225774829855
L72__seed8101045.npz,OBDI02,True,72,118,1,180,7.615773105863909
L96__seed8102000.npz,OBDI02,True,96,0,1,0,
L96__seed8102001.npz,OBDI02,True,96,127,1,180,8.0
L96__seed8102002.npz,OBDI02,True,96,128,1,180,8.06225774829855
L96__seed8102003.npz,OBDI02,True,96,68,1,180,7.810249675906654
L96__seed8102004.npz,OBDI02,True,96,125,1,180,8.246211251235321
L96__seed8102005.npz,OBDI02,True,96,128,1,180,8.06225774829855
L96__seed8102006.npz,OBDI02,True,96,105,1,180,8.246211251235321
L96__seed8102007.npz,OBDI02,True,96,114,1,180,8.06225774829855
L96__seed8102008.npz,OBDI02,True,96,0,1,78,8.246211251235321
L96__seed8102009.npz,OBDI02,True,96,114,1,180,8.54400374531753
L96__seed8102010.npz,OBDI02,True,96,0,1,18,22.011217116917916
L96__seed8102011.npz,OBDI02,True,96,132,1,180,7.810249675906654
L96__seed8102012.npz,OBDI02,True,96,124,1,180,7.810249675906654
L96__seed8102013.npz,OBDI02,True,96,124,1,180,8.0
L96__seed8102014.npz,OBDI02,True,96,106,1,180,8.0
L96__seed8102015.npz,OBDI02,True,96,114,1,180,8.06225774829855
L96__seed8102016.npz,OBDI02,True,96,0,1,0,
L96__seed8102017.npz,OBDI02,True,96,138,1,180,7.810249675906654
L96__seed8102018.npz,OBDI02,True,96,132,1,180,8.602325267042627
L96__seed8102019.npz,OBDI02,True,96,126,1,180,8.0
L96__seed8102020.npz,OBDI02,True,96,0,1,48,16.35421988932518
L96__seed8102021.npz,OBDI02,True,96,112,1,180,8.06225774829855
L96__seed8102022.npz,OBDI02,True,96,118,1,180,8.0
L96__seed8102023.npz,OBDI02,True,96,111,1,180,8.06225774829855
L96__seed8102024.npz,OBDI02,True,96,122,1,180,8.246211251235321
L96__seed8102025.npz,OBDI02,True,96,30,1,180,8.97213595499958
L96__seed8102026.npz,OBDI02,True,96,123,1,180,8.0
L96__seed8102027.npz,OBDI02,True,96,103,1,180,7.905124837953327
L96__seed8102028.npz,OBDI02,True,96,127,1,180,8.246211251235321
L96__seed8102029.npz,OBDI02,True,96,115,1,180,8.54400374531753
L96__seed8102030.npz,OBDI02,True,96,0,1,72,10.246834584086285
L96__seed8102031.npz,OBDI02,True,96,102,1,180,8.06225774829855
L96__seed8102032.npz,OBDI02,True,96,110,1,180,8.06225774829855
L96__seed8102033.npz,OBDI02,True,96,117,1,180,8.154234499766936
L96__seed8102034.npz,OBDI02,True,96,123,1,180,8.031128874149275
L96__seed8102035.npz,OBDI02,True,96,61,1,180,8.06225774829855
L96__seed8102036.npz,OBDI02,True,96,110,1,180,7.810249675906654
L96__seed8102037.npz,OBDI02,True,96,125,1,180,8.06225774829855
L96__seed8102038.npz,OBDI02,True,96,0,1,179,8.94427190999916
L96__seed8102039.npz,OBDI02,True,96,136,1,180,8.06225774829855
L96__seed8102040.npz,OBDI02,True,96,91,1,180,8.0
L96__seed8102041.npz,OBDI02,True,96,127,1,180,8.06225774829855
L96__seed8102042.npz,OBDI02,True,96,122,1,180,8.54400374531753
L96__seed8102043.npz,OBDI02,True,96,112,1,180,8.0
L96__seed8102044.npz,OBDI02,True,96,129,1,180,8.06225774829855
L96__seed8102045.npz,OBDI02,True,96,117,1,180,8.154234499766936
S__seed9201.npz,OBTC02,False,36,92,1,180,5.830951894845301
S__seed9202.npz,OBTC02,False,36,73,1,180,6.082762530298219
S__seed9203.npz,OBTC02,False,36,76,1,180,6.0
P__seed9101.npz,OBTC02,True,36,0,1,72,9.899494936611665
P__seed9102.npz,OBTC02,True,36,81,1,180,8.06225774829855
P__seed9103.npz,OBTC02,True,36,131,1,180,8.48528137423857
P__seed9104.npz,OBTC02,True,36,126,1,180,8.246211251235321
P__seed9105.npz,OBTC02,True,36,126,1,180,7.280109889280518
P__seed9106.npz,OBTC02,True,36,120,1,180,8.06225774829855
