NAME,VALUE,UNITS,EVIDENCE_LEVEL,SOURCE_FILE,SOURCE_SHA256,JSON_PATH,DECIMALS
StaticPredicted,6.007630361527475,lattice units or ratio,RAW_RECOMPUTED,paper/organiser-bound-source-response-operator/provenance/AUDIT_RESULTS.json,790f05b24a9dd0c3d590845545d53e4b123f79f2553c7147108eb5445040e180,endpoints/static/predicted,4
StaticObserved,5.999119238860436,lattice units or ratio,RAW_RECOMPUTED,paper/organiser-bound-source-response-operator/provenance/AUDIT_RESULTS.json,790f05b24a9dd0c3d590845545d53e4b123f79f2553c7147108eb5445040e180,endpoints/static/observed,4
StaticError,-0.14167187651131785,percent,RAW_RECOMPUTED,paper/organiser-bound-source-response-operator/provenance/AUDIT_RESULTS.json,790f05b24a9dd0c3d590845545d53e4b123f79f2553c7147108eb5445040e180,endpoints/static/relative_error_percent,2
StaticMCSD,0.3149614424197004,percent,RAW_RECOMPUTED,paper/organiser-bound-source-response-operator/provenance/AUDIT_RESULTS.json,790f05b24a9dd0c3d590845545d53e4b123f79f2553c7147108eb5445040e180,endpoints/static/prediction_mc_sd_percent,3
StaticSE,0.46300108498306264,percent,RAW_RECOMPUTED,paper/organiser-bound-source-response-operator/provenance/AUDIT_RESULTS.json,790f05b24a9dd0c3d590845545d53e4b123f79f2553c7147108eb5445040e180,endpoints/static/se_percent,3
MobilePredicted,8.057449850229872,lattice units or ratio,RAW_RECOMPUTED,paper/organiser-bound-source-response-operator/provenance/AUDIT_RESULTS.json,790f05b24a9dd0c3d590845545d53e4b123f79f2553c7147108eb5445040e180,endpoints/mobile/predicted,4
MobileObserved,8.077146148389195,lattice units or ratio,RAW_RECOMPUTED,paper/organiser-bound-source-response-operator/provenance/AUDIT_RESULTS.json,790f05b24a9dd0c3d590845545d53e4b123f79f2553c7147108eb5445040e180,endpoints/mobile/observed,4
MobileError,0.24444828730469936,percent,RAW_RECOMPUTED,paper/organiser-bound-source-response-operator/provenance/AUDIT_RESULTS.json,790f05b24a9dd0c3d590845545d53e4b123f79f2553c7147108eb5445040e180,endpoints/mobile/relative_error_percent,2
MobileMCSD,0.5626702876946909,percent,RAW_RECOMPUTED,paper/organiser-bound-source-response-operator/provenance/AUDIT_RESULTS.json,790f05b24a9dd0c3d590845545d53e4b123f79f2553c7147108eb5445040e180,endpoints/mobile/prediction_mc_sd_percent,3
MobileSE,0.725338315203404,percent,RAW_RECOMPUTED,paper/organiser-bound-source-response-operator/provenance/AUDIT_RESULTS.json,790f05b24a9dd0c3d590845545d53e4b123f79f2553c7147108eb5445040e180,endpoints/mobile/se_percent,3
RatioPredicted,1.3412026648359268,lattice units or ratio,RAW_RECOMPUTED,paper/organiser-bound-source-response-operator/provenance/AUDIT_RESULTS.json,790f05b24a9dd0c3d590845545d53e4b123f79f2553c7147108eb5445040e180,endpoints/ratio/predicted,4
RatioObserved,1.3463886658674735,lattice units or ratio,RAW_RECOMPUTED,paper/organiser-bound-source-response-operator/provenance/AUDIT_RESULTS.json,790f05b24a9dd0c3d590845545d53e4b123f79f2553c7147108eb5445040e180,endpoints/ratio/observed,4
RatioError,0.38666796357589295,percent,RAW_RECOMPUTED,paper/organiser-bound-source-response-operator/provenance/AUDIT_RESULTS.json,790f05b24a9dd0c3d590845545d53e4b123f79f2553c7147108eb5445040e180,endpoints/ratio/relative_error_percent,2
RatioMCSD,0.6448244434460627,percent,RAW_RECOMPUTED,paper/organiser-bound-source-response-operator/provenance/AUDIT_RESULTS.json,790f05b24a9dd0c3d590845545d53e4b123f79f2553c7147108eb5445040e180,endpoints/ratio/prediction_mc_sd_percent,3
RatioSE,0.8627015619198192,percent,RAW_RECOMPUTED,paper/organiser-bound-source-response-operator/provenance/AUDIT_RESULTS.json,790f05b24a9dd0c3d590845545d53e4b123f79f2553c7147108eb5445040e180,endpoints/ratio/se_percent,3
StaticTOST,2.382641635779968e-05,p value,POST_FREEZE_DIAGNOSTIC,paper/organiser-bound-source-response-operator/provenance/AUDIT_RESULTS.json,790f05b24a9dd0c3d590845545d53e4b123f79f2553c7147108eb5445040e180,endpoints/static/diagnostic_tost_p,6
MobileTOST,0.001437807098757528,p value,POST_FREEZE_DIAGNOSTIC,paper/organiser-bound-source-response-operator/provenance/AUDIT_RESULTS.json,790f05b24a9dd0c3d590845545d53e4b123f79f2553c7147108eb5445040e180,endpoints/mobile/diagnostic_tost_p,6
SelectedN,116,arms,OUTCOME_CONDITIONED_DEVELOPMENTAL,paper/organiser-bound-source-response-operator/provenance/AUDIT_RESULTS.json,790f05b24a9dd0c3d590845545d53e4b123f79f2553c7147108eb5445040e180,historical_levels/A_mission_rule__nX_final_ge_40_and_ge_50_frames/n,3
SelectedResidual,-5.100648800559171,percent,OUTCOME_CONDITIONED_DEVELOPMENTAL,paper/organiser-bound-source-response-operator/provenance/AUDIT_RESULTS.json,790f05b24a9dd0c3d590845545d53e4b123f79f2553c7147108eb5445040e180,historical_levels/A_mission_rule__nX_final_ge_40_and_ge_50_frames/percent,3
SelectedSE,0.30778409048558053,percent,OUTCOME_CONDITIONED_DEVELOPMENTAL,paper/organiser-bound-source-response-operator/provenance/AUDIT_RESULTS.json,790f05b24a9dd0c3d590845545d53e4b123f79f2553c7147108eb5445040e180,historical_levels/A_mission_rule__nX_final_ge_40_and_ge_50_frames/se_percent,3
NoPopulationN,126,arms,OUTCOME_CONDITIONED_DEVELOPMENTAL,paper/organiser-bound-source-response-operator/provenance/AUDIT_RESULTS.json,790f05b24a9dd0c3d590845545d53e4b123f79f2553c7147108eb5445040e180,historical_levels/B_drop_the_population_threshold__keep_ge_50_frames/n,3
NoPopulationResidual,-4.347644780628923,percent,OUTCOME_CONDITIONED_DEVELOPMENTAL,paper/organiser-bound-source-response-operator/provenance/AUDIT_RESULTS.json,790f05b24a9dd0c3d590845545d53e4b123f79f2553c7147108eb5445040e180,historical_levels/B_drop_the_population_threshold__keep_ge_50_frames/percent,3
NoPopulationSE,0.47839691245949895,percent,OUTCOME_CONDITIONED_DEVELOPMENTAL,paper/organiser-bound-source-response-operator/provenance/AUDIT_RESULTS.json,790f05b24a9dd0c3d590845545d53e4b123f79f2553c7147108eb5445040e180,historical_levels/B_drop_the_population_threshold__keep_ge_50_frames/se_percent,3
FiniteOnlyN,129,arms,OUTCOME_CONDITIONED_DEVELOPMENTAL,paper/organiser-bound-source-response-operator/provenance/AUDIT_RESULTS.json,790f05b24a9dd0c3d590845545d53e4b123f79f2553c7147108eb5445040e180,historical_levels/C_no_outcome_dependent_threshold_at_all/n,3
FiniteOnlyResidual,-2.1439939634253946,percent,OUTCOME_CONDITIONED_DEVELOPMENTAL,paper/organiser-bound-source-response-operator/provenance/AUDIT_RESULTS.json,790f05b24a9dd0c3d590845545d53e4b123f79f2553c7147108eb5445040e180,historical_levels/C_no_outcome_dependent_threshold_at_all/percent,3
FiniteOnlySE,1.5385589413344598,percent,OUTCOME_CONDITIONED_DEVELOPMENTAL,paper/organiser-bound-source-response-operator/provenance/AUDIT_RESULTS.json,790f05b24a9dd0c3d590845545d53e4b123f79f2553c7147108eb5445040e180,historical_levels/C_no_outcome_dependent_threshold_at_all/se_percent,3
BirthDifference,0.4144240154032204,percentage points,POST_OUTCOME_DIAGNOSTIC,paper/organiser-bound-source-response-operator/provenance/AUDIT_RESULTS.json,790f05b24a9dd0c3d590845545d53e4b123f79f2553c7147108eb5445040e180,replicates/difference_pp,3
BirthSE,0.19629596067616356,percentage points,POST_OUTCOME_DIAGNOSTIC,paper/organiser-bound-source-response-operator/provenance/AUDIT_RESULTS.json,790f05b24a9dd0c3d590845545d53e4b123f79f2553c7147108eb5445040e180,replicates/se_pp,3
EmpiricalMean,-4.803296104989181,percent,POST_OUTCOME_DIAGNOSTIC,paper/organiser-bound-source-response-operator/provenance/AUDIT_RESULTS.json,790f05b24a9dd0c3d590845545d53e4b123f79f2553c7147108eb5445040e180,replicates/stats/mobile_empirical/mean,3
PoissonMean,-5.217720120392402,percent,POST_OUTCOME_DIAGNOSTIC,paper/organiser-bound-source-response-operator/provenance/AUDIT_RESULTS.json,790f05b24a9dd0c3d590845545d53e4b123f79f2553c7147108eb5445040e180,replicates/stats/mobile_poisson/mean,3
NoSharedError,-3.5518705481669466,percent,POST_OUTCOME_MODEL_COMPARISON,SEAL01/out/OBFOR01_SEAL_REPAIR_EVIDENCE.json,8a13cf2db2d4ac37ba68a88732dedaf77c226ab599a236ffb9c6a55bc9af1e35,R4_DISCRIMINATING_POWER/WHAT_THE_TEST_DOES_REJECT/the model with the shared trajectory removed/relative_error_percent,2
IdealError,-5.464154872172111,percent,POST_OUTCOME_MODEL_COMPARISON,SEAL01/out/OBFOR01_SEAL_REPAIR_EVIDENCE.json,8a13cf2db2d4ac37ba68a88732dedaf77c226ab599a236ffb9c6a55bc9af1e35,R4_DISCRIMINATING_POWER/WHAT_THE_TEST_DOES_REJECT/the uncorrected ideal operator/mobile/relative_error_percent,2
BaselineStaticError,0.46692321565864336,percent,POST_OUTCOME_BASELINE_COMPARISON,SEAL01/out/OBFOR01_SEAL_REPAIR_EVIDENCE.json,8a13cf2db2d4ac37ba68a88732dedaf77c226ab599a236ffb9c6a55bc9af1e35,R4_DISCRIMINATING_POWER/NULL_SCORED_ON_THE_THREE_FROZEN_ENDPOINTS/static/relative_error_percent,2
BaselineMobileError,-0.30852261208645926,percent,POST_OUTCOME_BASELINE_COMPARISON,SEAL01/out/OBFOR01_SEAL_REPAIR_EVIDENCE.json,8a13cf2db2d4ac37ba68a88732dedaf77c226ab599a236ffb9c6a55bc9af1e35,R4_DISCRIMINATING_POWER/NULL_SCORED_ON_THE_THREE_FROZEN_ENDPOINTS/mobile/relative_error_percent,2
BaselineRatioError,-0.7718419186387715,percent,POST_OUTCOME_BASELINE_COMPARISON,SEAL01/out/OBFOR01_SEAL_REPAIR_EVIDENCE.json,8a13cf2db2d4ac37ba68a88732dedaf77c226ab599a236ffb9c6a55bc9af1e35,R4_DISCRIMINATING_POWER/NULL_SCORED_ON_THE_THREE_FROZEN_ENDPOINTS/ratio/relative_error_percent,2
HistoricalFluxArms,40,arms,FROZEN_INPUT_PROVENANCE,SEAL01/out/OBFOR01_SEAL_REPAIR_EVIDENCE.json,8a13cf2db2d4ac37ba68a88732dedaf77c226ab599a236ffb9c6a55bc9af1e35,R3_HISTORICAL_ARMS_BEHIND_THE_BIRTH_FLUX,0
BlockedMean,0.0004042448545858995,fraction,RAW_RECOMPUTED,OBFOR01/out/_adjudication.json,fe108f5dba130c99b1cac84b79112afbe202b05fa96bc076c20239918c2c6fb5,TECHNICAL/blocked_fraction_X_mean,7
PQArchives,128,archives,POST_OUTCOME_DEVELOPMENTAL,PQEC01/out/PQEC01_RAW_MANIFEST.json,399cfbaae06fc479d661717f98e2ba7e56964eefd250ea4a846f05982b8fe88b,N_ARCHIVES,0
