world,point,split,stop,kY,muY,steps,first_birth,n_births,extinct,first_S,first_P,n_S_episodes,max_S_duration,integrity_ok,dur_ok_T_50,noP_ok_T_50,resp_ok_T_50,event_step_T_50,weak_centre_X_ratio_T_50,weak_centre_X_abs_T_50,P_before_event_T_50,joint_timing_T_50,joint_T_50,dur_ok_T_primary,noP_ok_T_primary,resp_ok_T_primary,event_step_T_primary,weak_centre_X_ratio_T_primary,weak_centre_X_abs_T_primary,P_before_event_T_primary,joint_timing_T_primary,joint_T_primary,dur_ok_T_80,noP_ok_T_80,resp_ok_T_80,event_step_T_80,weak_centre_X_ratio_T_80,weak_centre_X_abs_T_80,P_before_event_T_80,joint_timing_T_80,joint_T_80,dur_ok_T_90,noP_ok_T_90,resp_ok_T_90,event_step_T_90,weak_centre_X_ratio_T_90,weak_centre_X_abs_T_90,P_before_event_T_90,joint_timing_T_90,joint_T_90
A_A0_i021_s950424325,A0,DISCOVERY,HORIZON,0.0,0.0,11000,-1,0,False,-1,-1,0,0,True,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False
A_A0_i022_s951640143,A0,DISCOVERY,HORIZON,0.0,0.0,11000,-1,0,False,-1,-1,0,0,True,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False
A_A0_i023_s975431620,A0,VALIDATION,HORIZON,0.0,0.0,11000,-1,0,False,-1,-1,0,0,True,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False
A_A0_i024_s948649467,A0,DISCOVERY,HORIZON,0.0,0.0,11000,-1,0,False,-1,-1,0,0,True,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False
A_A0_i025_s976923327,A0,DISCOVERY,HORIZON,0.0,0.0,11000,-1,0,False,-1,-1,0,0,True,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False
A_A0_i026_s974306448,A0,VALIDATION,HORIZON,0.0,0.0,11000,-1,0,False,-1,-1,0,0,True,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False
A_A0_i027_s941238339,A0,DISCOVERY,HORIZON,0.0,0.0,11000,-1,0,False,-1,-1,0,0,True,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False
A_A0_i028_s984076192,A0,DISCOVERY,HORIZON,0.0,0.0,11000,-1,0,False,-1,-1,0,0,True,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False
A_A0_i029_s941800635,A0,DISCOVERY,HORIZON,0.0,0.0,11000,-1,0,False,-1,-1,0,0,True,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False
A_A0_i030_s981413209,A0,DISCOVERY,HORIZON,0.0,0.0,11000,-1,0,False,-1,-1,0,0,True,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False
A_A0_i031_s953537674,A0,DISCOVERY,HORIZON,0.0,0.0,11000,-1,0,False,-1,-1,0,0,True,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False
A_A0_i032_s950327065,A0,VALIDATION,HORIZON,0.0,0.0,11000,-1,0,False,-1,-1,0,0,True,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False
A_A0_i033_s958500852,A0,DISCOVERY,HORIZON,0.0,0.0,11000,-1,0,False,-1,-1,0,0,True,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False
A_A0_i034_s943046772,A0,DISCOVERY,HORIZON,0.0,0.0,11000,-1,0,False,-1,-1,0,0,True,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False
A_A0_i035_s966818388,A0,DISCOVERY,HORIZON,0.0,0.0,11000,-1,0,False,-1,-1,0,0,True,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False
A_A0_i036_s971380574,A0,DISCOVERY,HORIZON,0.0,0.0,11000,-1,0,False,-1,-1,0,0,True,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False
A_A0_i037_s940476109,A0,DISCOVERY,HORIZON,0.0,0.0,11000,-1,0,False,-1,-1,0,0,True,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False
A_A0_i038_s972708360,A0,VALIDATION,HORIZON,0.0,0.0,11000,-1,0,False,-1,-1,0,0,True,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False
A_A0_i039_s952291848,A0,DISCOVERY,HORIZON,0.0,0.0,11000,-1,0,False,-1,-1,0,0,True,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False
B_B1_i000_s942104457,B1,VALIDATION,EXTINCT,2.5118864315095822e-05,9.261187281287937e-05,4112,1596,1,True,1686,-1,10,1073,True,True,True,True,1858,0.7788461538461539,81.0,False,True,True,True,True,True,1935,0.8404255319148937,79.0,False,True,True,True,True,True,2087,0.3584905660377358,38.0,False,True,True,True,True,False,2260,0.45,36.0,False,True,False
B_B1_i001_s964832813,B1,VALIDATION,EXTINCT,2.5118864315095822e-05,9.261187281287937e-05,819,-1,0,True,-1,-1,0,0,True,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False
B_B1_i002_s984926519,B1,DISCOVERY,EXTINCT,2.5118864315095822e-05,9.261187281287937e-05,7484,-1,0,True,-1,-1,0,0,True,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False
B_B1_i003_s980160103,B1,VALIDATION,EXTINCT,2.5118864315095822e-05,9.261187281287937e-05,6249,-1,0,True,-1,-1,0,0,True,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False
B_B1_i004_s985002422,B1,DISCOVERY,EXTINCT,2.5118864315095822e-05,9.261187281287937e-05,760,-1,0,True,-1,-1,0,0,True,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False
B_B1_i005_s973414108,B1,VALIDATION,PREMATURE_THIRD_CENTRE,2.5118864315095822e-05,9.261187281287937e-05,7770,5348,2,False,5610,7769,3,2114,True,True,True,True,5827,0.8333333333333334,75.0,False,True,True,True,True,True,5904,0.7395833333333334,71.0,False,True,True,True,True,True,6056,0.8051948051948052,62.0,False,True,True,True,True,True,6229,0.9101123595505618,81.0,False,True,True
B_B1_i006_s950265832,B1,DISCOVERY,EXTINCT,2.5118864315095822e-05,9.261187281287937e-05,8114,-1,0,True,-1,-1,0,0,True,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False
B_B1_i007_s957760836,B1,VALIDATION,HORIZON,2.5118864315095822e-05,9.261187281287937e-05,11000,-1,0,False,-1,-1,0,0,True,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False
B_B1_i008_s961401796,B1,DISCOVERY,EXTINCT,2.5118864315095822e-05,9.261187281287937e-05,1569,-1,0,True,-1,-1,0,0,True,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False
B_B1_i009_s964348423,B1,DISCOVERY,EXTINCT,2.5118864315095822e-05,9.261187281287937e-05,360,-1,0,True,-1,-1,0,0,True,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False
B_B1_i010_s954932320,B1,DISCOVERY,PREMATURE_THIRD_CENTRE,2.5118864315095822e-05,9.261187281287937e-05,3401,1023,4,False,1164,3400,16,685,True,True,True,True,2571,0.8962264150943396,95.0,False,True,True,True,True,True,2964,0.6818181818181818,75.0,False,True,True,True,True,False,3116,0.7153846153846154,93.0,False,True,False,True,True,False,3289,0.45714285714285713,64.0,False,True,False
B_B1_i011_s972899442,B1,VALIDATION,EXTINCT,2.5118864315095822e-05,9.261187281287937e-05,3833,-1,0,True,-1,-1,0,0,True,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False
B_B1_i012_s948144737,B1,DISCOVERY,EXTINCT,2.5118864315095822e-05,9.261187281287937e-05,915,-1,0,True,-1,-1,0,0,True,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False
B_B1_i013_s941531409,B1,DISCOVERY,EXTINCT,2.5118864315095822e-05,9.261187281287937e-05,2218,-1,0,True,-1,-1,0,0,True,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False
B_B1_i014_s957357991,B1,VALIDATION,EXTINCT,2.5118864315095822e-05,9.261187281287937e-05,2479,-1,0,True,-1,-1,0,0,True,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False
B_B1_i015_s959574951,B1,DISCOVERY,EXTINCT,2.5118864315095822e-05,9.261187281287937e-05,4889,-1,0,True,-1,-1,0,0,True,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False
B_B1_i016_s978098288,B1,DISCOVERY,HORIZON,2.5118864315095822e-05,9.261187281287937e-05,11000,8105,1,False,8265,-1,4,2278,True,True,True,True,8558,0.6352941176470588,54.0,False,True,True,True,True,False,8635,0.3793103448275862,33.0,False,True,False,True,True,False,8787,0.7608695652173914,70.0,False,True,False,True,True,True,8960,0.9452054794520548,69.0,False,True,True
B_B1_i017_s944881843,B1,DISCOVERY,EXTINCT,2.5118864315095822e-05,9.261187281287937e-05,3885,-1,0,True,-1,-1,0,0,True,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False
B_B1_i018_s986563095,B1,VALIDATION,PREMATURE_THIRD_CENTRE,2.5118864315095822e-05,9.261187281287937e-05,3443,1221,2,False,1437,3442,3,1937,True,True,True,False,1677,0.4528301886792453,48.0,False,True,False,True,True,True,1754,0.9418604651162791,81.0,False,True,True,True,True,True,1906,0.8082191780821918,59.0,False,True,True,True,True,False,2079,0.8823529411764706,75.0,False,True,False
B_B1_i019_s977581696,B1,VALIDATION,EXTINCT,2.5118864315095822e-05,9.261187281287937e-05,1238,-1,0,True,-1,-1,0,0,True,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False
B_B1_i020_s950639211,B1,DISCOVERY,HORIZON,2.5118864315095822e-05,9.261187281287937e-05,11000,8577,1,False,8633,-1,26,448,True,True,True,True,10561,0.5,57.0,False,True,True,True,True,True,10638,0.7326732673267327,74.0,False,True,True,True,True,True,10790,0.9032258064516129,84.0,False,True,True,False,False,False,-1,,,,False,False
B_B1_i021_s982042871,B1,DISCOVERY,EXTINCT,2.5118864315095822e-05,9.261187281287937e-05,4829,-1,0,True,-1,-1,0,0,True,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False
B_B1_i022_s960856267,B1,DISCOVERY,HORIZON,2.5118864315095822e-05,9.261187281287937e-05,11000,2810,2,False,3042,-1,10,4522,True,True,True,True,3374,0.6545454545454545,72.0,False,True,True,True,True,True,3451,0.7870370370370371,85.0,False,True,True,True,True,True,4151,0.7894736842105263,75.0,False,True,True,True,True,False,4324,0.45871559633027525,50.0,False,True,False
B_B1_i023_s979644336,B1,DISCOVERY,EXTINCT,2.5118864315095822e-05,9.261187281287937e-05,1602,-1,0,True,-1,-1,0,0,True,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False
B_B1_i024_s961848369,B1,DISCOVERY,EXTINCT,2.5118864315095822e-05,9.261187281287937e-05,4238,-1,0,True,-1,-1,0,0,True,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False
B_B1_i025_s950130140,B1,VALIDATION,PREMATURE_THIRD_CENTRE,2.5118864315095822e-05,9.261187281287937e-05,1466,520,2,False,670,1465,4,383,True,True,True,True,842,0.4888888888888889,44.0,False,True,True,True,True,True,919,0.6590909090909091,58.0,False,True,True,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False
B_B1_i026_s948401949,B1,DISCOVERY,EXTINCT,2.5118864315095822e-05,9.261187281287937e-05,1628,-1,0,True,-1,-1,0,0,True,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False
B_B1_i027_s943470984,B1,DISCOVERY,EXTINCT,2.5118864315095822e-05,9.261187281287937e-05,380,-1,0,True,-1,-1,0,0,True,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False
B_B1_i028_s980328882,B1,DISCOVERY,EXTINCT,2.5118864315095822e-05,9.261187281287937e-05,930,-1,0,True,-1,-1,0,0,True,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False
B_B1_i029_s973819266,B1,VALIDATION,PREMATURE_THIRD_CENTRE,2.5118864315095822e-05,9.261187281287937e-05,3186,687,2,False,759,3185,9,1270,True,True,True,True,1095,0.6138613861386139,62.0,False,True,True,True,True,True,1172,0.8390804597701149,73.0,False,True,True,True,True,True,1324,0.9710144927536232,67.0,False,True,True,True,True,True,1497,0.7941176470588235,54.0,False,True,True
B_B1_i030_s942070244,B1,DISCOVERY,EXTINCT,2.5118864315095822e-05,9.261187281287937e-05,6785,-1,0,True,-1,-1,0,0,True,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False
B_B1_i031_s984994512,B1,DISCOVERY,HORIZON,2.5118864315095822e-05,9.261187281287937e-05,11000,1316,2,False,1334,-1,3,360,True,True,True,True,1506,0.8983050847457628,53.0,False,True,True,True,True,True,1583,0.8,64.0,False,True,True,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False
B_B1_i032_s950302476,B1,VALIDATION,EXTINCT,2.5118864315095822e-05,9.261187281287937e-05,6915,-1,0,True,-1,-1,0,0,True,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False
B_B1_i033_s955153022,B1,DISCOVERY,HORIZON,2.5118864315095822e-05,9.261187281287937e-05,11000,6269,1,False,6340,-1,30,1490,True,True,True,True,7624,0.8666666666666667,78.0,False,True,True,True,True,True,7701,0.8192771084337349,68.0,False,True,True,True,True,True,8319,0.8444444444444444,76.0,False,True,True,True,True,True,8492,0.7721518987341772,61.0,False,True,True
B_B1_i034_s985310591,B1,DISCOVERY,EXTINCT,2.5118864315095822e-05,9.261187281287937e-05,532,-1,0,True,-1,-1,0,0,True,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False
B_B1_i035_s984253947,B1,DISCOVERY,HORIZON,2.5118864315095822e-05,9.261187281287937e-05,11000,1453,2,False,1565,-1,8,2924,True,True,True,True,1883,0.8155339805825242,84.0,False,True,True,True,True,True,1960,0.7340425531914894,69.0,False,True,True,True,True,True,2112,0.7878787878787878,78.0,False,True,True,True,True,False,2285,0.06666666666666667,6.0,False,True,False
B_B1_i036_s982276419,B1,VALIDATION,PREMATURE_THIRD_CENTRE,2.5118864315095822e-05,9.261187281287937e-05,10763,8201,4,False,8431,10762,12,1022,True,True,True,True,8792,0.7912087912087912,72.0,False,True,True,True,True,False,8869,0.4533333333333333,34.0,False,True,False,True,True,False,9021,0.5428571428571428,38.0,False,True,False,True,True,True,9194,0.9390243902439024,77.0,False,True,True
B_B1_i037_s966307960,B1,VALIDATION,HORIZON,2.5118864315095822e-05,9.261187281287937e-05,11000,828,2,False,883,-1,14,3268,True,True,True,True,1205,0.8736842105263158,83.0,False,True,True,True,True,True,1282,0.85,85.0,False,True,True,True,True,False,1434,0.6161616161616161,61.0,False,True,False,True,True,False,8306,0.4925373134328358,33.0,False,True,False
B_B1_i038_s945497148,B1,DISCOVERY,EXTINCT,2.5118864315095822e-05,9.261187281287937e-05,270,-1,0,True,-1,-1,0,0,True,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False
B_B1_i039_s950085585,B1,DISCOVERY,HORIZON,2.5118864315095822e-05,9.261187281287937e-05,11000,1304,1,False,1366,-1,29,4624,True,True,True,True,1785,0.015151515151515152,1.0,False,True,True,True,True,True,1862,0.016666666666666666,1.0,False,True,True,True,True,True,2014,0.015151515151515152,1.0,False,True,True,True,True,True,2187,0.0,0.0,False,True,True
B_B1_i040_s958845720,B1,DISCOVERY,EXTINCT,2.5118864315095822e-05,9.261187281287937e-05,4982,-1,0,True,-1,-1,0,0,True,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False
B_B1_i041_s967791007,B1,DISCOVERY,EXTINCT,2.5118864315095822e-05,9.261187281287937e-05,1869,-1,0,True,-1,-1,0,0,True,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False
B_B1_i042_s958795488,B1,DISCOVERY,PREMATURE_THIRD_CENTRE,2.5118864315095822e-05,9.261187281287937e-05,692,310,2,False,390,691,4,55,True,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False
B_B1_i043_s949060103,B1,VALIDATION,EXTINCT,2.5118864315095822e-05,9.261187281287937e-05,4672,-1,0,True,-1,-1,0,0,True,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False
B_B2_i000_s952591689,B2,DISCOVERY,HORIZON,2.1544346900318823e-05,1e-08,11000,-1,0,False,-1,-1,0,0,True,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False
B_B2_i001_s967852247,B2,DISCOVERY,HORIZON,2.1544346900318823e-05,1e-08,11000,-1,0,False,-1,-1,0,0,True,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False
B_B2_i002_s942552035,B2,DISCOVERY,HORIZON,2.1544346900318823e-05,1e-08,11000,-1,0,False,-1,-1,0,0,True,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False
B_B2_i003_s973852476,B2,VALIDATION,HORIZON,2.1544346900318823e-05,1e-08,11000,-1,0,False,-1,-1,0,0,True,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False
B_B2_i004_s957719806,B2,VALIDATION,HORIZON,2.1544346900318823e-05,1e-08,11000,-1,0,False,-1,-1,0,0,True,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False
B_B2_i005_s963804288,B2,DISCOVERY,HORIZON,2.1544346900318823e-05,1e-08,11000,4816,1,False,4893,-1,13,3908,True,True,True,True,5352,0.7407407407407407,60.0,False,True,True,True,True,True,5429,0.8461538461538461,66.0,False,True,True,True,True,True,5581,0.7415730337078652,66.0,False,True,True,True,True,True,5754,0.8469387755102041,83.0,False,True,True
B_B2_i006_s966438778,B2,VALIDATION,PREMATURE_THIRD_CENTRE,2.1544346900318823e-05,1e-08,8081,7465,2,False,7787,8080,4,137,True,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False
B_B2_i007_s940565777,B2,VALIDATION,HORIZON,2.1544346900318823e-05,1e-08,11000,-1,0,False,-1,-1,0,0,True,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False
B_B2_i008_s941377808,B2,VALIDATION,PREMATURE_THIRD_CENTRE,2.1544346900318823e-05,1e-08,4946,4588,2,False,4790,4945,6,61,True,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False
