world,seed,stop,steps,first_birth,n_births,extinct,first_P,integrity_ok,n_S_episodes,max_S_duration,R0_functional_success,t0_separation,t_maturation,N0_total_X,parent_mass,daughter_mass,survivor_upper_95,R1_material,f_new_lower,daughter_is_weaker,third_centre_cell,closest_existing_centre,closest_distance,two_still_functional_at_P,steps_after_P_available,third_matures
F_B1_i032_s962016646,962016646,PREMATURE_THIRD_CENTRE,3694,2568,2,False,3693,True,3,608,True,3085,3334,216,98.0,97.0,91,True,0.061855670103092786,True,"[15, 19]",1,5.3852,True,0,False
F_B1_i033_s946812865,946812865,HORIZON,11000,-1,0,False,-1,True,0,0,False,,,,,,,,,,,,,,,
F_B1_i034_s953392366,953392366,HORIZON,11000,8298,1,False,-1,True,3,2561,True,8439,8688,162,98.0,89.0,70,True,0.21348314606741572,True,,,,,,
F_B1_i035_s967193487,967193487,EXTINCT,7261,-1,0,True,-1,True,0,0,False,,,,,,,,,,,,,,,
F_B1_i036_s973479703,973479703,HORIZON,11000,4521,1,False,-1,True,41,1243,True,5095,5344,190,72.0,92.0,81,True,0.11956521739130435,False,,,,,,
F_B1_i037_s978440800,978440800,EXTINCT,653,-1,0,True,-1,True,0,0,False,,,,,,,,,,,,,,,
F_B1_i038_s946686142,946686142,EXTINCT,8998,-1,0,True,-1,True,0,0,False,,,,,,,,,,,,,,,
F_B1_i039_s951894761,951894761,HORIZON,11000,1400,1,False,-1,True,2,6765,True,1536,1785,165,89.0,89.0,71,True,0.20224719101123595,True,,,,,,
F_B1_i040_s968090434,968090434,PREMATURE_THIRD_CENTRE,6596,5379,2,False,6595,True,5,233,False,,,,,,,,,,"[5, 26]",1,5.6569,False,0,False
F_B1_i041_s963936993,963936993,EXTINCT,5294,-1,0,True,-1,True,0,0,False,,,,,,,,,,,,,,,
F_B1_i042_s969926790,969926790,EXTINCT,1838,-1,0,True,-1,True,0,0,False,,,,,,,,,,,,,,,
F_B1_i043_s984288330,984288330,EXTINCT,4336,-1,0,True,-1,True,0,0,False,,,,,,,,,,,,,,,
F_B1_i044_s983372424,983372424,PREMATURE_THIRD_CENTRE,2891,2412,2,False,2890,True,6,47,False,,,,,,,,,,"[25, 17]",1,5.099,False,0,False
F_B1_i045_s950338079,950338079,HORIZON,11000,-1,0,False,-1,True,0,0,False,,,,,,,,,,,,,,,
F_B1_i046_s980048187,980048187,EXTINCT,5562,-1,0,True,-1,True,0,0,False,,,,,,,,,,,,,,,
F_B1_i047_s977830424,977830424,HORIZON,11000,-1,0,False,-1,True,0,0,False,,,,,,,,,,,,,,,
F_B1_i048_s979215862,979215862,PREMATURE_THIRD_CENTRE,5462,1282,2,False,5461,True,22,1833,True,1863,2112,195,74.0,87.0,83,True,0.04597701149425287,False,"[29, 9]",2,5.3852,True,0,False
F_B1_i049_s964951386,964951386,EXTINCT,2705,-1,0,True,-1,True,0,0,False,,,,,,,,,,,,,,,
F_B1_i050_s978576820,978576820,EXTINCT,3586,-1,0,True,-1,True,0,0,False,,,,,,,,,,,,,,,
F_B1_i051_s974634142,974634142,EXTINCT,8206,-1,0,True,-1,True,0,0,False,,,,,,,,,,,,,,,
F_B1_i052_s975584860,975584860,HORIZON,11000,5560,1,False,-1,True,2,952,True,5778,6027,176,73.0,95.0,75,True,0.21052631578947367,False,,,,,,
F_B1_i053_s949711709,949711709,EXTINCT,7530,-1,0,True,-1,True,0,0,False,,,,,,,,,,,,,,,
F_B1_i054_s958177789,958177789,HORIZON,11000,1914,1,False,-1,True,17,995,True,2148,2397,176,63.0,69.0,75,False,0.0,False,,,,,,
F_B1_i055_s975909813,975909813,EXTINCT,233,-1,0,True,-1,True,0,0,False,,,,,,,,,,,,,,,
F_B1_i056_s952516722,952516722,HORIZON,11000,8017,1,False,-1,True,11,2599,False,8401,8650,217,77.0,32.0,92,False,0.0,True,,,,,,
F_B1_i057_s986099531,986099531,HORIZON,11000,-1,0,False,-1,True,0,0,False,,,,,,,,,,,,,,,
F_B1_i058_s961537578,961537578,EXTINCT,8,-1,0,True,-1,True,0,0,False,,,,,,,,,,,,,,,
F_B1_i059_s987956295,987956295,EXTINCT,4735,1435,1,True,-1,True,11,222,False,,,,,,,,,,,,,,,
F_B1_i060_s971745868,971745868,EXTINCT,8010,3432,1,True,-1,True,9,3026,True,4045,4294,235,80.0,58.0,99,False,0.0,True,,,,,,
F_B1_i061_s970706015,970706015,EXTINCT,364,-1,0,True,-1,True,0,0,False,,,,,,,,,,,,,,,
F_B1_i062_s949689767,949689767,HORIZON,11000,329,1,False,-1,True,28,5375,True,703,952,195,83.0,82.0,83,False,0.0,True,,,,,,
F_B1_i063_s957115157,957115157,EXTINCT,1560,-1,0,True,-1,True,0,0,False,,,,,,,,,,,,,,,
F_B1_i064_s983477522,983477522,EXTINCT,5526,-1,0,True,-1,True,0,0,False,,,,,,,,,,,,,,,
F_B1_i065_s974318172,974318172,EXTINCT,6788,-1,0,True,-1,True,0,0,False,,,,,,,,,,,,,,,
F_B1_i066_s966708531,966708531,HORIZON,11000,-1,0,False,-1,True,0,0,False,,,,,,,,,,,,,,,
F_B1_i067_s989764175,989764175,HORIZON,11000,563,1,False,-1,True,43,2643,True,1652,1901,238,105.0,49.0,100,False,0.0,True,,,,,,
F_B1_i068_s972977211,972977211,EXTINCT,1326,-1,0,True,-1,True,0,0,False,,,,,,,,,,,,,,,
F_B1_i069_s972544349,972544349,EXTINCT,5240,-1,0,True,-1,True,0,0,False,,,,,,,,,,,,,,,
F_B1_i070_s953642056,953642056,EXTINCT,3437,-1,0,True,-1,True,0,0,False,,,,,,,,,,,,,,,
F_B1_i071_s965276389,965276389,EXTINCT,2178,-1,0,True,-1,True,0,0,False,,,,,,,,,,,,,,,
F_B1_i072_s988294562,988294562,HORIZON,11000,-1,0,False,-1,True,0,0,False,,,,,,,,,,,,,,,
F_B1_i073_s960739485,960739485,EXTINCT,8612,-1,0,True,-1,True,0,0,False,,,,,,,,,,,,,,,
F_B1_i074_s987574137,987574137,EXTINCT,10430,-1,0,True,-1,True,0,0,False,,,,,,,,,,,,,,,
F_B1_i075_s949609438,949609438,HORIZON,11000,-1,0,False,-1,True,0,0,False,,,,,,,,,,,,,,,
F_B1_i076_s974443890,974443890,EXTINCT,6934,2243,1,True,-1,True,5,4448,True,2429,2678,189,80.0,75.0,81,False,0.0,True,,,,,,
F_B1_i077_s980931069,980931069,EXTINCT,2169,-1,0,True,-1,True,0,0,False,,,,,,,,,,,,,,,
F_B1_i078_s957883305,957883305,EXTINCT,1674,-1,0,True,-1,True,0,0,False,,,,,,,,,,,,,,,
F_B1_i079_s951035514,951035514,EXTINCT,390,-1,0,True,-1,True,0,0,False,,,,,,,,,,,,,,,
F_B1_i080_s986885725,986885725,EXTINCT,6538,-1,0,True,-1,True,0,0,False,,,,,,,,,,,,,,,
F_B1_i081_s953733080,953733080,PREMATURE_THIRD_CENTRE,9317,2945,2,False,9316,True,25,2770,True,3680,3929,195,85.0,86.0,83,True,0.03488372093023256,False,"[20, 28]",1,5.831,True,0,False
F_B1_i082_s989469523,989469523,PREMATURE_THIRD_CENTRE,3525,3198,2,False,3524,True,3,19,False,,,,,,,,,,"[24, 3]",0,5.3852,False,0,False
F_B1_i083_s960542920,960542920,PREMATURE_THIRD_CENTRE,7709,5318,3,False,7708,True,6,1894,True,5814,6063,223,102.0,65.0,94,False,0.0,True,"[22, 13]",1,6.0208,True,0,False
F_B1_i084_s957089888,957089888,EXTINCT,6684,27,1,True,-1,True,6,2946,True,457,706,164,58.0,75.0,71,True,0.05333333333333334,False,,,,,,
F_B1_i085_s941896160,941896160,EXTINCT,10728,-1,0,True,-1,True,0,0,False,,,,,,,,,,,,,,,
F_B1_i086_s941323182,941323182,EXTINCT,8324,350,2,True,-1,True,14,1303,True,429,678,104,8.0,58.0,46,True,0.20689655172413793,False,,,,,,
F_B1_i087_s944458331,944458331,PREMATURE_THIRD_CENTRE,1598,89,2,False,1597,True,3,849,True,330,579,134,117.0,97.0,59,True,0.3917525773195876,True,"[35, 22]",1,5.099,True,0,False
F_B1_i088_s989319835,989319835,HORIZON,11000,-1,0,False,-1,True,0,0,False,,,,,,,,,,,,,,,
F_B1_i089_s973081003,973081003,EXTINCT,8573,-1,0,True,-1,True,0,0,False,,,,,,,,,,,,,,,
F_B1_i090_s949547031,949547031,EXTINCT,7270,-1,0,True,-1,True,0,0,False,,,,,,,,,,,,,,,
F_B1_i091_s946339136,946339136,HORIZON,11000,7950,1,False,-1,True,21,600,True,8583,8832,241,67.0,79.0,101,False,0.0,False,,,,,,
F_B1_i092_s942610772,942610772,HORIZON,11000,321,2,False,-1,True,30,1735,True,1647,1896,236,46.0,92.0,99,False,0.0,False,,,,,,
F_B1_i093_s963919222,963919222,PREMATURE_THIRD_CENTRE,1888,1431,2,False,1887,True,7,78,False,,,,,,,,,,"[32, 4]",0,6.0,False,0,False
F_B1_i094_s980354285,980354285,HORIZON,11000,3437,1,False,-1,True,11,3914,True,3602,3851,181,12.0,104.0,77,True,0.25961538461538464,False,,,,,,
F_B1_i095_s960593242,960593242,HORIZON,11000,9556,1,False,-1,True,17,102,False,,,,,,,,,,,,,,,
F_B1_i096_s964624236,964624236,EXTINCT,9602,-1,0,True,-1,True,0,0,False,,,,,,,,,,,,,,,
F_B1_i097_s969506786,969506786,HORIZON,11000,1651,1,False,-1,True,9,2640,True,2768,3017,221,67.0,64.0,93,False,0.0,True,,,,,,
F_B1_i098_s984200297,984200297,EXTINCT,4767,3112,1,True,-1,True,1,239,False,,,,,,,,,,,,,,,
F_B1_i099_s973397780,973397780,HORIZON,11000,-1,0,False,-1,True,0,0,False,,,,,,,,,,,,,,,
F_B1_i100_s980336166,980336166,EXTINCT,6357,-1,0,True,-1,True,0,0,False,,,,,,,,,,,,,,,
F_B1_i101_s986288233,986288233,EXTINCT,9652,-1,0,True,-1,True,0,0,False,,,,,,,,,,,,,,,
F_B1_i102_s963196374,963196374,EXTINCT,2904,-1,0,True,-1,True,0,0,False,,,,,,,,,,,,,,,
F_B1_i103_s971158892,971158892,EXTINCT,4809,-1,0,True,-1,True,0,0,False,,,,,,,,,,,,,,,
F_B1_i104_s963629591,963629591,PREMATURE_THIRD_CENTRE,7058,2234,2,False,7057,True,3,4579,True,2478,2727,214,82.0,73.0,91,False,0.0,True,"[2, 26]",1,5.099,True,0,False
F_B1_i105_s984614245,984614245,HORIZON,11000,-1,0,False,-1,True,0,0,False,,,,,,,,,,,,,,,
F_B1_i106_s977386908,977386908,PREMATURE_THIRD_CENTRE,7255,1080,2,False,7254,True,8,4378,True,1830,2079,206,4.0,69.0,87,False,0.0,False,"[17, 11]",1,5.6569,True,0,False
F_B1_i107_s942416815,942416815,EXTINCT,3966,-1,0,True,-1,True,0,0,False,,,,,,,,,,,,,,,
F_B1_i108_s947981898,947981898,PREMATURE_THIRD_CENTRE,10105,1002,3,False,10104,True,12,3431,True,1463,1712,215,71.0,74.0,91,False,0.0,False,"[32, 22]",1,5.3852,True,0,False
F_B1_i109_s957123369,957123369,EXTINCT,22,-1,0,True,-1,True,0,0,False,,,,,,,,,,,,,,,
F_B1_i110_s959359123,959359123,EXTINCT,9992,6198,1,True,-1,True,8,2491,True,6585,6834,178,72.0,112.0,76,True,0.32142857142857145,False,,,,,,
F_B1_i111_s948970118,948970118,EXTINCT,716,-1,0,True,-1,True,0,0,False,,,,,,,,,,,,,,,
F_B1_i112_s963149944,963149944,HORIZON,11000,-1,0,False,-1,True,0,0,False,,,,,,,,,,,,,,,
F_B1_i113_s948364507,948364507,HORIZON,11000,-1,0,False,-1,True,0,0,False,,,,,,,,,,,,,,,
F_B1_i114_s974435599,974435599,EXTINCT,5298,-1,0,True,-1,True,0,0,False,,,,,,,,,,,,,,,
F_B1_i115_s957458678,957458678,EXTINCT,271,-1,0,True,-1,True,0,0,False,,,,,,,,,,,,,,,
F_B1_i116_s968282413,968282413,HORIZON,11000,6425,1,False,-1,True,6,4208,False,6792,7041,184,86.0,51.0,79,False,0.0,True,,,,,,
F_B1_i117_s974796133,974796133,EXTINCT,630,-1,0,True,-1,True,0,0,False,,,,,,,,,,,,,,,
F_B1_i118_s980667389,980667389,HORIZON,11000,-1,0,False,-1,True,0,0,False,,,,,,,,,,,,,,,
F_B1_i119_s946643083,946643083,EXTINCT,523,-1,0,True,-1,True,0,0,False,,,,,,,,,,,,,,,
F_B1_i120_s983668069,983668069,PREMATURE_THIRD_CENTRE,6982,495,2,False,6981,True,21,3619,True,1410,1659,237,60.0,80.0,100,False,0.0,False,"[0, 35]",2,5.3852,True,0,False
F_B1_i121_s984592227,984592227,EXTINCT,5729,-1,0,True,-1,True,0,0,False,,,,,,,,,,,,,,,
F_B1_i122_s957743415,957743415,EXTINCT,10921,4468,1,True,-1,True,12,819,True,4803,5052,210,97.0,43.0,89,False,0.0,True,,,,,,
F_B1_i123_s987081005,987081005,EXTINCT,2285,-1,0,True,-1,True,0,0,False,,,,,,,,,,,,,,,
F_B1_i124_s970193442,970193442,EXTINCT,4038,-1,0,True,-1,True,0,0,False,,,,,,,,,,,,,,,
F_B1_i125_s985464460,985464460,EXTINCT,4639,-1,0,True,-1,True,0,0,False,,,,,,,,,,,,,,,
F_B1_i126_s956889719,956889719,EXTINCT,3279,-1,0,True,-1,True,0,0,False,,,,,,,,,,,,,,,
F_B1_i127_s964769585,964769585,HORIZON,11000,-1,0,False,-1,True,0,0,False,,,,,,,,,,,,,,,
F_B1_i128_s959267151,959267151,EXTINCT,2747,-1,0,True,-1,True,0,0,False,,,,,,,,,,,,,,,
F_B1_i129_s961015691,961015691,PREMATURE_THIRD_CENTRE,3649,3184,2,False,3648,True,5,38,False,,,,,,,,,,"[15, 0]",1,5.6569,False,0,False
F_B1_i130_s980749456,980749456,EXTINCT,3438,-1,0,True,-1,True,0,0,False,,,,,,,,,,,,,,,
F_B1_i131_s947161548,947161548,EXTINCT,1314,-1,0,True,-1,True,0,0,False,,,,,,,,,,,,,,,
F_B1_i132_s940786867,940786867,EXTINCT,4569,-1,0,True,-1,True,0,0,False,,,,,,,,,,,,,,,
F_B1_i133_s982163306,982163306,HORIZON,11000,5770,1,False,-1,True,25,3362,True,6548,6797,233,96.0,117.0,98,True,0.1623931623931624,False,,,,,,
F_B1_i134_s944772756,944772756,EXTINCT,8781,514,1,True,-1,True,11,4233,True,1152,1401,207,62.0,93.0,88,True,0.053763440860215055,False,,,,,,
F_B1_i135_s981086880,981086880,EXTINCT,10874,-1,0,True,-1,True,0,0,False,,,,,,,,,,,,,,,
F_B1_i136_s943213648,943213648,PREMATURE_THIRD_CENTRE,4522,2373,2,False,4521,True,1,2061,True,2460,2709,162,67.0,85.0,70,True,0.17647058823529413,False,"[14, 2]",1,5.3852,True,0,False
F_B1_i137_s953150653,953150653,EXTINCT,430,-1,0,True,-1,True,0,0,False,,,,,,,,,,,,,,,
F_B1_i138_s962292659,962292659,EXTINCT,3581,-1,0,True,-1,True,0,0,False,,,,,,,,,,,,,,,
F_B1_i139_s958882361,958882361,EXTINCT,9055,-1,0,True,-1,True,0,0,False,,,,,,,,,,,,,,,
F_B1_i140_s956553446,956553446,HORIZON,11000,-1,0,False,-1,True,0,0,False,,,,,,,,,,,,,,,
F_B1_i141_s961761185,961761185,HORIZON,11000,5581,1,False,-1,True,5,632,True,5808,6057,200,93.0,87.0,85,True,0.022988505747126436,True,,,,,,
F_B1_i142_s981609162,981609162,HORIZON,11000,7276,1,False,-1,True,2,3598,False,7402,7651,134,84.0,1.0,59,False,0.0,True,,,,,,
F_B1_i143_s960291558,960291558,EXTINCT,1577,-1,0,True,-1,True,0,0,False,,,,,,,,,,,,,,,
F_B1_i144_s960237375,960237375,EXTINCT,7461,-1,0,True,-1,True,0,0,False,,,,,,,,,,,,,,,
F_B1_i145_s957588753,957588753,EXTINCT,1206,-1,0,True,-1,True,0,0,False,,,,,,,,,,,,,,,
F_B1_i146_s983490100,983490100,EXTINCT,7740,-1,0,True,-1,True,0,0,False,,,,,,,,,,,,,,,
F_B1_i147_s977952106,977952106,HORIZON,11000,-1,0,False,-1,True,0,0,False,,,,,,,,,,,,,,,
F_B1_i148_s953097369,953097369,EXTINCT,10163,-1,0,True,-1,True,0,0,False,,,,,,,,,,,,,,,
F_B1_i149_s965452864,965452864,EXTINCT,1674,-1,0,True,-1,True,0,0,False,,,,,,,,,,,,,,,
F_B1_i150_s940483003,940483003,HORIZON,11000,-1,0,False,-1,True,0,0,False,,,,,,,,,,,,,,,
F_B1_i151_s985710760,985710760,HORIZON,11000,-1,0,False,-1,True,0,0,False,,,,,,,,,,,,,,,
F_B1_i152_s968245585,968245585,EXTINCT,5338,-1,0,True,-1,True,0,0,False,,,,,,,,,,,,,,,
F_B1_i153_s940215959,940215959,EXTINCT,7506,-1,0,True,-1,True,0,0,False,,,,,,,,,,,,,,,
F_B1_i154_s952442846,952442846,PREMATURE_THIRD_CENTRE,6596,4132,2,False,6595,True,8,1850,True,4745,4994,196,64.0,53.0,83,False,0.0,True,"[14, 30]",0,5.3852,True,0,False
F_B1_i155_s966585865,966585865,EXTINCT,1040,-1,0,True,-1,True,0,0,False,,,,,,,,,,,,,,,
F_B1_i156_s941343422,941343422,HORIZON,11000,639,1,False,-1,True,6,7308,True,843,1092,178,81.0,72.0,76,False,0.0,True,,,,,,
F_B1_i157_s985797243,985797243,EXTINCT,1458,-1,0,True,-1,True,0,0,False,,,,,,,,,,,,,,,
F_B1_i158_s960801904,960801904,HORIZON,11000,-1,0,False,-1,True,0,0,False,,,,,,,,,,,,,,,
F_B1_i159_s945365396,945365396,HORIZON,11000,-1,0,False,-1,True,0,0,False,,,,,,,,,,,,,,,
F_B1_i160_s958258931,958258931,EXTINCT,1634,-1,0,True,-1,True,0,0,False,,,,,,,,,,,,,,,
F_B1_i161_s979290477,979290477,EXTINCT,1274,-1,0,True,-1,True,0,0,False,,,,,,,,,,,,,,,
F_B1_i162_s974051308,974051308,EXTINCT,3637,-1,0,True,-1,True,0,0,False,,,,,,,,,,,,,,,
F_B1_i163_s988001788,988001788,EXTINCT,4191,-1,0,True,-1,True,0,0,False,,,,,,,,,,,,,,,
F_B1_i164_s945804743,945804743,HORIZON,11000,4949,1,False,-1,True,19,2338,True,6740,6989,187,84.0,79.0,80,False,0.0,True,,,,,,
F_B1_i165_s973776210,973776210,EXTINCT,3404,-1,0,True,-1,True,0,0,False,,,,,,,,,,,,,,,
F_B1_i166_s961633859,961633859,HORIZON,11000,-1,0,False,-1,True,0,0,False,,,,,,,,,,,,,,,
F_B1_i167_s986264887,986264887,EXTINCT,365,-1,0,True,-1,True,0,0,False,,,,,,,,,,,,,,,
F_B1_i168_s972573403,972573403,EXTINCT,6133,-1,0,True,-1,True,0,0,False,,,,,,,,,,,,,,,
F_B1_i169_s959091777,959091777,HORIZON,11000,-1,0,False,-1,True,0,0,False,,,,,,,,,,,,,,,
F_B1_i170_s960404814,960404814,EXTINCT,3565,-1,0,True,-1,True,0,0,False,,,,,,,,,,,,,,,
F_B1_i171_s965136666,965136666,HORIZON,11000,6869,1,False,-1,True,15,2612,True,7068,7317,181,65.0,89.0,77,True,0.1348314606741573,False,,,,,,
F_B1_i172_s950449165,950449165,HORIZON,11000,3768,2,False,-1,True,30,304,True,5627,5876,232,99.0,82.0,98,False,0.0,True,,,,,,
F_B1_i173_s971707335,971707335,HORIZON,11000,-1,0,False,-1,True,0,0,False,,,,,,,,,,,,,,,
F_B1_i174_s968550902,968550902,EXTINCT,1340,-1,0,True,-1,True,0,0,False,,,,,,,,,,,,,,,
F_B1_i175_s964368498,964368498,EXTINCT,249,-1,0,True,-1,True,0,0,False,,,,,,,,,,,,,,,
F_B1_i176_s975997815,975997815,EXTINCT,3588,-1,0,True,-1,True,0,0,False,,,,,,,,,,,,,,,
F_B1_i177_s944099569,944099569,EXTINCT,6370,-1,0,True,-1,True,0,0,False,,,,,,,,,,,,,,,
F_B1_i178_s978860892,978860892,EXTINCT,4148,-1,0,True,-1,True,0,0,False,,,,,,,,,,,,,,,
F_B1_i179_s985986234,985986234,EXTINCT,9864,-1,0,True,-1,True,0,0,False,,,,,,,,,,,,,,,
F_B1_i180_s989219668,989219668,HORIZON,11000,3409,1,False,-1,True,12,2402,True,4063,4312,215,90.0,95.0,91,True,0.042105263157894736,False,,,,,,
F_B1_i181_s947398945,947398945,HORIZON,11000,-1,0,False,-1,True,0,0,False,,,,,,,,,,,,,,,
F_B1_i182_s961444860,961444860,PREMATURE_THIRD_CENTRE,6789,5827,2,False,6788,True,8,358,True,6430,6679,227,67.0,66.0,96,False,0.0,True,"[18, 2]",0,5.3852,True,0,False
F_B1_i183_s984583347,984583347,HORIZON,11000,-1,0,False,-1,True,0,0,False,,,,,,,,,,,,,,,
F_B1_i184_s968861793,968861793,EXTINCT,10949,2827,1,True,-1,True,4,2544,False,3198,3447,183,51.0,94.0,78,True,0.1702127659574468,False,,,,,,
F_B1_i185_s966419541,966419541,HORIZON,11000,9056,1,False,-1,True,4,1216,True,9215,9464,195,87.0,70.0,83,False,0.0,True,,,,,,
F_B1_i186_s954499148,954499148,HORIZON,11000,5421,1,False,-1,True,7,776,True,6071,6320,198,101.0,97.0,84,True,0.13402061855670103,True,,,,,,
F_B1_i187_s976481809,976481809,PREMATURE_THIRD_CENTRE,5664,2263,2,False,5663,True,7,2768,True,2895,3144,233,69.0,63.0,98,False,0.0,True,"[27, 6]",1,5.831,True,0,False
F_B1_i188_s968527897,968527897,EXTINCT,10930,-1,0,True,-1,True,0,0,False,,,,,,,,,,,,,,,
F_B1_i189_s986062882,986062882,HORIZON,11000,1938,1,False,-1,True,10,1803,True,2243,2492,202,48.0,66.0,86,False,0.0,False,,,,,,
F_B1_i190_s978122038,978122038,HORIZON,11000,-1,0,False,-1,True,0,0,False,,,,,,,,,,,,,,,
F_B1_i191_s988881942,988881942,HORIZON,11000,-1,0,False,-1,True,0,0,False,,,,,,,,,,,,,,,
