id,symbol,value,source_path,source_commit,source_sha256,locator,verification_mode,status,note
D21,DEV power estimate own @H40 mean,+0.218,docs/individuation/NONMERGING_CONFIRM_PRESEAL_02.json,9b7580bc,0d9ba7c340dc33b72dad2aa10caad45d16c17ae6bb19234225cede1bbfd1ddc4,$.power.own_H40.mean,json-key lookup,VERIFIED,DEV only; no positive claim drawn from DEV.
D22,DEV power estimate own @H40 sd,0.063,docs/individuation/NONMERGING_CONFIRM_PRESEAL_02.json,9b7580bc,0d9ba7c340dc33b72dad2aa10caad45d16c17ae6bb19234225cede1bbfd1ddc4,$.power.own_H40.sd,json-key lookup,VERIFIED,DEV only.
D23,required valid worlds (need_n),0.7,docs/individuation/NONMERGING_CONFIRM_PRESEAL_02.json,9b7580bc,0d9ba7c340dc33b72dad2aa10caad45d16c17ae6bb19234225cede1bbfd1ddc4,$.power.own_H40.need_n,json-key lookup,VERIFIED,12-world floor is ~17x this.
D24,DEV determinism run sha256,a45a860e0a8418e72f7fe904001e971556ac420e34914a6f243a18523dac6edb,docs/individuation/NONMERGING_CONFIRM_PRESEAL_02.json,9b7580bc,0d9ba7c340dc33b72dad2aa10caad45d16c17ae6bb19234225cede1bbfd1ddc4,$.dev_determinism.nm_dev_run1_sha256,json-key lookup,VERIFIED,Also stated in NONMERGING_CONFIRM_DETERMINISM_02.md.
D25,primary readout definition,integrated uptake t=1..40 on the bijectively tracked component,docs/individuation/NONMERGING_CONFIRM_PRESEAL_02.json,9b7580bc,0d9ba7c340dc33b72dad2aa10caad45d16c17ae6bb19234225cede1bbfd1ddc4,"$.behavioural.primary_readout, $.behavioural.readout_moment",json-key lookup,VERIFIED,
D26,transplant control,REMOVED from the mission at seal time (never run),docs/individuation/NONMERGING_CONFIRM_PRESEAL_02.json,9b7580bc,0d9ba7c340dc33b72dad2aa10caad45d16c17ae6bb19234225cede1bbfd1ddc4,$.transplant,json-key lookup,VERIFIED,
E01,exact uptake update,g = dt*g0*rho*N*qq*(1+beta*sigma)*(1+lam_plus*m_plus),edlab/experiments/sc_mcm/engine.py,65582d0,8bc8f518313ad3b17fff2d8de21d65d1d76d71ae1744ac0cbd8618afa8f410f9,line 79,source-code line,VERIFIED,
E02,engine default lam_plus / lam_minus,0.25 / 0.15,edlab/experiments/sc_mcm/engine.py,65582d0,8bc8f518313ad3b17fff2d8de21d65d1d76d71ae1744ac0cbd8618afa8f410f9,lines 31-32 (MCParams),source-code line,VERIFIED,
E03,m_plus definition,m_plus = tanh(m[0] + m[1]),edlab/experiments/sc_mcm/engine.py,65582d0,8bc8f518313ad3b17fff2d8de21d65d1d76d71ae1744ac0cbd8618afa8f410f9,line 76,source-code line,VERIFIED,
E04,coupling statement in runner docstring,g proportional to N*rho*(1+lam_plus*m_plus),experiments/individuation/nonmerging_confirm.py,9b7580bc,7e62b73827c23459d45ec3f4425195459cb081bb144a7ab74aced99260fba88c,"module docstring, line 15",document text locator,VERIFIED,
E05,grid size,64 x 64 = 4096 cells,edlab/substrates/scaffold/engine.py,659b2b7,(n/a),line 26: 'size: int = 64',source-code line,VERIFIED,Consistent with every max_cov value in the certificate being an exact multiple of 1/4096.
R01,seeds run (n_seeds),32,docs/individuation/NONMERGING_CONFIRM_CERTIFICATE_02.json,830c2d0,2fc9e93c3c3a8eb8ecc3cca8454fda4e0f9bef61f51fb40a60ad5a184f94b991,$.n_seeds,json-key lookup,VERIFIED,
R02,eligible worlds (n_eligible),23,docs/individuation/NONMERGING_CONFIRM_CERTIFICATE_02.json,830c2d0,2fc9e93c3c3a8eb8ecc3cca8454fda4e0f9bef61f51fb40a60ad5a184f94b991,$.n_eligible,json-key lookup,VERIFIED,23/32 = 71.9%; VERDICT_02 rounds to 72%.
R03,G0-valid worlds (n_g0_valid),23,docs/individuation/NONMERGING_CONFIRM_CERTIFICATE_02.json,830c2d0,2fc9e93c3c3a8eb8ecc3cca8454fda4e0f9bef61f51fb40a60ad5a184f94b991,$.n_g0_valid,json-key lookup,VERIFIED,
R04,non-fusing fraction of eligible,1.0,docs/individuation/NONMERGING_CONFIRM_CERTIFICATE_02.json,830c2d0,2fc9e93c3c3a8eb8ecc3cca8454fda4e0f9bef61f51fb40a60ad5a184f94b991,$.nonfusing_fraction (= $.G0.nonfusing_fraction),json-key lookup,VERIFIED,
R05,G0 feasibility gate,PASS,docs/individuation/NONMERGING_CONFIRM_CERTIFICATE_02.json,830c2d0,2fc9e93c3c3a8eb8ecc3cca8454fda4e0f9bef61f51fb40a60ad5a184f94b991,$.G0.passed,json-key lookup,VERIFIED,
R06,own effect mean,+0.2236416257421648,docs/individuation/NONMERGING_CONFIRM_CERTIFICATE_02.json,830c2d0,2fc9e93c3c3a8eb8ecc3cca8454fda4e0f9bef61f51fb40a60ad5a184f94b991,$.G3.own_mean,json-key lookup,VERIFIED,"Units: integrated-uptake difference, dimensionless model units. NOT a percentage."
R07,own effect world-bootstrap 2.5th pct,+0.19258340353198225,docs/individuation/NONMERGING_CONFIRM_CERTIFICATE_02.json,830c2d0,2fc9e93c3c3a8eb8ecc3cca8454fda4e0f9bef61f51fb40a60ad5a184f94b991,$.G3.own_worldCI[0],json-key lookup,VERIFIED,
R08,own effect world-bootstrap median,+0.2232705006888931,docs/individuation/NONMERGING_CONFIRM_CERTIFICATE_02.json,830c2d0,2fc9e93c3c3a8eb8ecc3cca8454fda4e0f9bef61f51fb40a60ad5a184f94b991,$.G3.own_worldCI[1],json-key lookup,VERIFIED,
R09,own effect world-bootstrap 97.5th pct,+0.25834348856712364,docs/individuation/NONMERGING_CONFIRM_CERTIFICATE_02.json,830c2d0,2fc9e93c3c3a8eb8ecc3cca8454fda4e0f9bef61f51fb40a60ad5a184f94b991,$.G3.own_worldCI[2],json-key lookup,VERIFIED,
R10,worlds with own effect > 0,23 of 23,docs/individuation/NONMERGING_CONFIRM_CERTIFICATE_02.json,830c2d0,2fc9e93c3c3a8eb8ecc3cca8454fda4e0f9bef61f51fb40a60ad5a184f94b991,"$.G3.worlds_own_pos, $.G3.nW",json-key lookup,VERIFIED,
R11,own - sham world-bootstrap lower bound,+0.19258340936897145,docs/individuation/NONMERGING_CONFIRM_CERTIFICATE_02.json,830c2d0,2fc9e93c3c3a8eb8ecc3cca8454fda4e0f9bef61f51fb40a60ad5a184f94b991,$.G3.own_sham_worldCI[0],json-key lookup,VERIFIED,
R12,own - neighbour world-bootstrap lower bound,+0.19258547407545254,docs/individuation/NONMERGING_CONFIRM_CERTIFICATE_02.json,830c2d0,2fc9e93c3c3a8eb8ecc3cca8454fda4e0f9bef61f51fb40a60ad5a184f94b991,$.G3.own_neigh_worldCI[0] (= $.G4.own_neigh_worldCI[0]),json-key lookup,VERIFIED,
R13,sham contrast mean,-6.777303240351992e-09,docs/individuation/NONMERGING_CONFIRM_CERTIFICATE_02.json,830c2d0,2fc9e93c3c3a8eb8ecc3cca8454fda4e0f9bef61f51fb40a60ad5a184f94b991,$.G3.sham_mean,json-key lookup,VERIFIED,
R14,neighbour contrast mean,-7.316792126109839e-06,docs/individuation/NONMERGING_CONFIRM_CERTIFICATE_02.json,830c2d0,2fc9e93c3c3a8eb8ecc3cca8454fda4e0f9bef61f51fb40a60ad5a184f94b991,$.G3.neigh_mean (= $.G4.neigh_mean),json-key lookup,VERIFIED,
R15,ablation contrast mean,0.0 (exactly),docs/individuation/NONMERGING_CONFIRM_CERTIFICATE_02.json,830c2d0,2fc9e93c3c3a8eb8ecc3cca8454fda4e0f9bef61f51fb40a60ad5a184f94b991,$.G3.ablation_mean,json-key lookup,VERIFIED,Manipulation check on a channel coupled by construction; NOT independent evidence.
R16,ablation ratio |own_abl|/|own|,0.0,docs/individuation/NONMERGING_CONFIRM_CERTIFICATE_02.json,830c2d0,2fc9e93c3c3a8eb8ecc3cca8454fda4e0f9bef61f51fb40a60ad5a184f94b991,$.G3.ablation_ratio,json-key lookup,VERIFIED,Frozen bound was < 0.15.
R17,fixed-mask (tracker-free) effect mean,+0.20679489102504786,docs/individuation/NONMERGING_CONFIRM_CERTIFICATE_02.json,830c2d0,2fc9e93c3c3a8eb8ecc3cca8454fda4e0f9bef61f51fb40a60ad5a184f94b991,$.G3.own_fixed_mean,json-key lookup,VERIFIED,
R18,fixed-mask world-bootstrap CI,"[+0.1799347054467802, +0.23438471691982812]",docs/individuation/NONMERGING_CONFIRM_CERTIFICATE_02.json,830c2d0,2fc9e93c3c3a8eb8ecc3cca8454fda4e0f9bef61f51fb40a60ad5a184f94b991,"$.G5.own_fixed_worldCI[0], [2]",json-key lookup,VERIFIED,
R19,worlds with same sign tracked vs fixed,23 of 23,docs/individuation/NONMERGING_CONFIRM_CERTIFICATE_02.json,830c2d0,2fc9e93c3c3a8eb8ecc3cca8454fda4e0f9bef61f51fb40a60ad5a184f94b991,$.G5.same_sign_worlds,json-key lookup,VERIFIED,
R20,tracked / fixed ratio,1.0814659135610676,docs/individuation/NONMERGING_CONFIRM_CERTIFICATE_02.json,830c2d0,2fc9e93c3c3a8eb8ecc3cca8454fda4e0f9bef61f51fb40a60ad5a184f94b991,$.G5.tracked_over_fixed,json-key lookup,VERIFIED,Contrast with 4.80x under the earlier fused regime (row P01).
R21,storage discriminability DD_mem,2590.0484470532206,docs/individuation/NONMERGING_CONFIRM_CERTIFICATE_02.json,830c2d0,2fc9e93c3c3a8eb8ecc3cca8454fda4e0f9bef61f51fb40a60ad5a184f94b991,$.G1.DD_mem,json-key lookup,VERIFIED,Gate: >= 10.
R22,storage mean |off-diagonal|,7.030993427940622e-05,docs/individuation/NONMERGING_CONFIRM_CERTIFICATE_02.json,830c2d0,2fc9e93c3c3a8eb8ecc3cca8454fda4e0f9bef61f51fb40a60ad5a184f94b991,$.G1.off,json-key lookup,VERIFIED,Gate: < 0.05.
R23,storage mean |diagonal|,0.18686203237973162,docs/individuation/NONMERGING_CONFIRM_CERTIFICATE_02.json,830c2d0,2fc9e93c3c3a8eb8ecc3cca8454fda4e0f9bef61f51fb40a60ad5a184f94b991,$.G1.diag,json-key lookup,VERIFIED,
R24,dose decode R2,0.6908517710812216,docs/individuation/NONMERGING_CONFIRM_CERTIFICATE_02.json,830c2d0,2fc9e93c3c3a8eb8ecc3cca8454fda4e0f9bef61f51fb40a60ad5a184f94b991,$.G2.dose_R2,json-key lookup,VERIFIED,
R25,dose within-null 95th percentile,0.15306406118017543,docs/individuation/NONMERGING_CONFIRM_CERTIFICATE_02.json,830c2d0,2fc9e93c3c3a8eb8ecc3cca8454fda4e0f9bef61f51fb40a60ad5a184f94b991,$.G2.dose_null95,json-key lookup,VERIFIED,
R26,dose empirical p,0.0001999600079984003,docs/individuation/NONMERGING_CONFIRM_CERTIFICATE_02.json,830c2d0,2fc9e93c3c3a8eb8ecc3cca8454fda4e0f9bef61f51fb40a60ad5a184f94b991,$.G2.dose_p,json-key lookup,VERIFIED,
R27,neighbour dose R2 (quoted as -0.014),-0.014,docs/individuation/NONMERGING_CONFIRM_CERTIFICATE_02.json,830c2d0,2fc9e93c3c3a8eb8ecc3cca8454fda4e0f9bef61f51fb40a60ad5a184f94b991,$.G2.neighbour_dose_R2,json-key lookup,VERIFIED,"Quoted at 3 dp; full 16-digit value is ULP-unstable, see row X03."
R28,order decode R2 (quoted as 0.376),0.376,docs/individuation/NONMERGING_CONFIRM_CERTIFICATE_02.json,830c2d0,2fc9e93c3c3a8eb8ecc3cca8454fda4e0f9bef61f51fb40a60ad5a184f94b991,$.G2.order_R2,json-key lookup,VERIFIED,"Secondary, pre-declared. Quoted at 3 dp; see row X04."
R29,order within-null 95th percentile (quoted as 0.106),0.106,docs/individuation/NONMERGING_CONFIRM_CERTIFICATE_02.json,830c2d0,2fc9e93c3c3a8eb8ecc3cca8454fda4e0f9bef61f51fb40a60ad5a184f94b991,$.G2.order_null95,json-key lookup,VERIFIED,See row X05.
R30,order empirical p,0.0001999600079984003,docs/individuation/NONMERGING_CONFIRM_CERTIFICATE_02.json,830c2d0,2fc9e93c3c3a8eb8ecc3cca8454fda4e0f9bef61f51fb40a60ad5a184f94b991,$.G2.order_p,json-key lookup,VERIFIED,
R31,"dose bootstrap CI (quoted as [0.581, 0.824])","[0.581, 0.824]",docs/individuation/NONMERGING_CONFIRM_CERTIFICATE_02.json,830c2d0,2fc9e93c3c3a8eb8ecc3cca8454fda4e0f9bef61f51fb40a60ad5a184f94b991,"$.G2.dose_ci[0], [1]",json-key lookup,VERIFIED,"Quoted at 3 dp; see rows X01, X02."
R32,max grid coverage across valid worlds,1.1963% (seed 53032) to 5.6396% (seed 53010),docs/individuation/NONMERGING_CONFIRM_CERTIFICATE_02.json,830c2d0,2fc9e93c3c3a8eb8ecc3cca8454fda4e0f9bef61f51fb40a60ad5a184f94b991,"$.per_seed[*].max_cov, min and max",json-key lookup,VERIFIED,Cap was 15%.
R33,G6 composite gate,PASS,docs/individuation/NONMERGING_CONFIRM_CERTIFICATE_02.json,830c2d0,2fc9e93c3c3a8eb8ecc3cca8454fda4e0f9bef61f51fb40a60ad5a184f94b991,"$.G6.passed, $.G6.rule",json-key lookup,VERIFIED,
R34,droplet-targets analysed,69 (= 23 valid worlds x K=3),experiments/individuation/nonmerging_confirm_raw.json,830c2d0,aedb0acf90affe3b7b872852191a67ab0ec849e2892b2669cffc2d63e965b1f0,"count over records with eligible=true and g0_valid=true, 3 targets each",recomputation from committed raw record,VERIFIED,NESTED within 23 worlds; NOT 69 independent replications.
R35,droplet-targets with own effect > 0,69 of 69,experiments/individuation/nonmerging_confirm_raw.json,830c2d0,aedb0acf90affe3b7b872852191a67ab0ec849e2892b2669cffc2d63e965b1f0,"beh.intact.tracked[i] - beh.erase[i].tracked[i], i=0..2, over the 23 valid records",recomputation from committed raw record,VERIFIED,Also asserted in VERDICT_02 ('69/69 gouttelettes >0'). Descriptive only.
R36,per-target own effect range,+0.029821403845065042 to +0.9021677835548552,experiments/individuation/nonmerging_confirm_raw.json,830c2d0,aedb0acf90affe3b7b872852191a67ab0ec849e2892b2669cffc2d63e965b1f0,"same locator as R35, min and max",recomputation from committed raw record,VERIFIED,
R37,"world-level corr(dose, own effect)",+0.173795 (VERDICT_02 quotes +0.17),experiments/individuation/nonmerging_confirm_raw.json,830c2d0,aedb0acf90affe3b7b872852191a67ab0ec849e2892b2669cffc2d63e965b1f0,"corrcoef(mean(dose) per valid world, own effect per valid world)",recomputation from committed raw record,VERIFIED,Graded decode is INDETERMINATE and non-gating.
R38,eligibility rate,23/32 = 71.9%,docs/individuation/NONMERGING_CONFIRM_CERTIFICATE_02.json,830c2d0,2fc9e93c3c3a8eb8ecc3cca8454fda4e0f9bef61f51fb40a60ad5a184f94b991,$.n_eligible / $.n_seeds,json-key lookup,VERIFIED,Geometric and outcome-independent.
A01,sealed probe amplitude (addendum arm),0.25,docs/individuation/NONMERGING_CONFIRM_RSTAR_SENSITIVITY_02.json,9c8a62c,0da5ff2d57221c4a47cbaeeb37f3e9fa0b67fb62578bbd354173d3168c534e00,$['seal_0.25x5'].amp,json-key lookup,VERIFIED,
A02,sealed probe cumulative injection,1.25,docs/individuation/NONMERGING_CONFIRM_RSTAR_SENSITIVITY_02.json,9c8a62c,0da5ff2d57221c4a47cbaeeb37f3e9fa0b67fb62578bbd354173d3168c534e00,$['seal_0.25x5'].cum,json-key lookup,VERIFIED,
A03,R* probe amplitude,0.2575,docs/individuation/NONMERGING_CONFIRM_RSTAR_SENSITIVITY_02.json,9c8a62c,0da5ff2d57221c4a47cbaeeb37f3e9fa0b67fb62578bbd354173d3168c534e00,$['rstar_0.2575x5'].amp,json-key lookup,VERIFIED,POST HOC.
A04,R* cumulative injection,1.2875,docs/individuation/NONMERGING_CONFIRM_RSTAR_SENSITIVITY_02.json,9c8a62c,0da5ff2d57221c4a47cbaeeb37f3e9fa0b67fb62578bbd354173d3168c534e00,$['rstar_0.2575x5'].cum,json-key lookup,VERIFIED,POST HOC.
A05,sealed probe worst coverage @H40,0.033203125 (3.3203%),docs/individuation/NONMERGING_CONFIRM_RSTAR_SENSITIVITY_02.json,9c8a62c,0da5ff2d57221c4a47cbaeeb37f3e9fa0b67fb62578bbd354173d3168c534e00,$['seal_0.25x5'].worst_cov_H40,json-key lookup,VERIFIED,POST HOC.
A06,R* probe worst coverage @H40,0.033447265625 (3.3447%),docs/individuation/NONMERGING_CONFIRM_RSTAR_SENSITIVITY_02.json,9c8a62c,0da5ff2d57221c4a47cbaeeb37f3e9fa0b67fb62578bbd354173d3168c534e00,$['rstar_0.2575x5'].worst_cov_H40,json-key lookup,VERIFIED,POST HOC.
A07,worst-coverage delta @H40,0.0244140625 percentage points,docs/individuation/NONMERGING_CONFIRM_RSTAR_SENSITIVITY_02.json,9c8a62c,0da5ff2d57221c4a47cbaeeb37f3e9fa0b67fb62578bbd354173d3168c534e00,$.worst_cov_delta_H40_pct,json-key lookup,VERIFIED,POST HOC. Reported as '+0.02 pp'.
A08,DEV worlds in the addendum,8 per arm,docs/individuation/NONMERGING_CONFIRM_RSTAR_SENSITIVITY_02.json,9c8a62c,0da5ff2d57221c4a47cbaeeb37f3e9fa0b67fb62578bbd354173d3168c534e00,"$['seal_0.25x5'].nW, $['rstar_0.2575x5'].nW",json-key lookup,VERIFIED,POST HOC. DEV seeds 50001-50009; no 53xxx seed used.
A09,G0-valid @H40 per arm,8 of 8 (both arms),docs/individuation/NONMERGING_CONFIRM_RSTAR_SENSITIVITY_02.json,9c8a62c,0da5ff2d57221c4a47cbaeeb37f3e9fa0b67fb62578bbd354173d3168c534e00,"$['seal_0.25x5'].worlds_G0valid_H40, $['rstar_0.2575x5'].worlds_G0valid_H40",json-key lookup,VERIFIED,POST HOC.
A10,both probes pass geometry,true,docs/individuation/NONMERGING_CONFIRM_RSTAR_SENSITIVITY_02.json,9c8a62c,0da5ff2d57221c4a47cbaeeb37f3e9fa0b67fb62578bbd354173d3168c534e00,$.both_pass,json-key lookup,VERIFIED,POST HOC. Decision: keep sealed 0.25x5.
A11,anti-numerology outcome for R*,"fails criteria 3,4,5,6; criteria 1,2 non-discriminating",docs/individuation/NONMERGING_CONFIRM_RSTAR_SENSITIVITY_02.md,9c8a62c,1ae9725eea2d1a2395db7682116a5731a798df476dd9f29844b016b7e0fa6b17,"section 2, criteria list; section 3 decision",document text locator,VERIFIED,POST HOC. Conclusion: R* has NO independent theoretical derivation.
P01,tracker inflation factor under fusion,4.80x,docs/individuation/MERGE_INCIDENT_INDEPENDENT_VIEW.md,6470513,34421671cd42fc695cf0800368ea38ff559329273b635a54d987db17e5c59977,"table row 'Facteur d'inflation tracke / masque-fixe', line 34",document text locator,VERIFIED,"Prior incident, not this run. Quoted only as contrast."
P02,prior own effect (superseded),+2.03,docs/individuation/CLAIM_IMPACT_TABLE.md,6470513,8b298a4d7b6288dfc7f4f74b0b785110986c2f6b34f017e406d53a15595a26e1,line 23,document text locator,VERIFIED,Superseded/qualified by the merge-incident erratum. NOT a claim of this work.
P03,prior '39/39 droplets' claim,INVALIDATED as 39 distinct entities; 24 unique final components; 17/39 survive under a bijective tracker,docs/individuation/CLAIM_IMPACT_TABLE.md,6470513,8b298a4d7b6288dfc7f4f74b0b785110986c2f6b34f017e406d53a15595a26e1,"claim row 6, lines 20 and 37",document text locator,VERIFIED,Cited as the error this work avoids.
P04,prior fusion incidence,11/13 worlds fused into a giant component covering 36-52% of the grid,docs/individuation/CLAIM_IMPACT_TABLE.md,6470513,8b298a4d7b6288dfc7f4f74b0b785110986c2f6b34f017e406d53a15595a26e1,"claim row 5, line 36",document text locator,VERIFIED,Motivates the non-fusing re-run.
SEAL-01,sealed SHA-256 of docs/individuation/NONMERGING_CONFIRM_INDEPENDENT_VIEW.md,f6603265c1858dc48e3679051ae2eecdb2c4839de6ee233e2f3957158c2e2972,docs/individuation/NONMERGING_CONFIRM_PRESEAL_02.json,9b7580bc,0d9ba7c340dc33b72dad2aa10caad45d16c17ae6bb19234225cede1bbfd1ddc4,$.sealed_file_sha256['docs/individuation/NONMERGING_CONFIRM_INDEPENDENT_VIEW.md'],re-hash of the committed content at branch tip 9c8a62c,VERIFIED,recomputed = f6603265c1858dc48e3679051ae2eecdb2c4839de6ee233e2f3957158c2e2972
SEAL-02,sealed SHA-256 of docs/individuation/NONMERGING_CONFIRM_PROTOCOL_02.md,4e76e272693af41c03eaa37def1686f6ae1d7ad5ae49f2cab5c9f608051583c7,docs/individuation/NONMERGING_CONFIRM_PRESEAL_02.json,9b7580bc,0d9ba7c340dc33b72dad2aa10caad45d16c17ae6bb19234225cede1bbfd1ddc4,$.sealed_file_sha256['docs/individuation/NONMERGING_CONFIRM_PROTOCOL_02.md'],re-hash of the committed content at branch tip 9c8a62c,VERIFIED,recomputed = 4e76e272693af41c03eaa37def1686f6ae1d7ad5ae49f2cab5c9f608051583c7
SEAL-03,sealed SHA-256 of experiments/individuation/bijective_tracker.py,c104f93abc75f6f16fbe9948f5f6c61e9f8c482c7b8426c868961708e2b76ee8,docs/individuation/NONMERGING_CONFIRM_PRESEAL_02.json,9b7580bc,0d9ba7c340dc33b72dad2aa10caad45d16c17ae6bb19234225cede1bbfd1ddc4,$.sealed_file_sha256['experiments/individuation/bijective_tracker.py'],re-hash of the committed content at branch tip 9c8a62c,VERIFIED,recomputed = c104f93abc75f6f16fbe9948f5f6c61e9f8c482c7b8426c868961708e2b76ee8
